ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.1,2.0666144,0.20078501,0.947565,0.9182644,0.2240452,0.027872447,34.73338,-13.742523,79.567566,-23.978708,0.4480904,0.055744894,0.9734295,-0.38514462,0.95826113,-0.2887843,254.12619,263.45593,358.02652,37.72123,0.0,0.9457214
1,2,10,0.1,2.1146178,0.21322413,0.96178854,0.93960506,0.23088099,0.024585955,34.993095,-13.170975,80.48684,-23.97595,0.46176198,0.04917191,0.9807082,-0.3691266,0.9693323,-0.28875118,254.07217,262.88437,358.02374,37.146927,0.0,0.91323835
1,3,10,0.1,2.0530937,0.26234388,0.8816233,0.9091265,0.25609758,-0.006140396,33.50303,-9.091757,79.17068,-15.591215,0.51219517,-0.012280792,0.938948,-0.2548034,0.95348126,-0.1877707,254.02754,262.37332,357.94232,24.682972,0.31622642,0.61785096
1,4,10,0.1,1.9250438,0.20883022,0.8576391,0.8585745,0.22848973,0.0053558974,33.04417,-8.743932,76.93805,-13.783669,0.45697945,0.010711795,0.92608804,-0.24505548,0.92659295,-0.16600172,253.97198,262.02548,356.13483,22.527601,0.31622642,0.57109606
1,5,10,0.1,1.8997769,0.20928115,0.8278636,0.86263233,0.22873628,0.0033747565,32.46549,-5.205928,77.11965,-6.568126,0.45747256,0.006749513,0.9098701,-0.14590013,0.92878,-0.07910236,254.02142,261.94742,356.85443,11.774054,0.5483786,0.31456646
1,6,10,0.1,1.9458483,0.21322039,0.84662277,0.88600516,0.23087896,-0.010437679,32.831257,-5.372556,78.15743,-7.206268,0.46175793,-0.020875357,0.9201211,-0.15057002,0.94127846,-0.08678766,254.09952,262.114,357.49268,12.578824,0.5483786,0.34217566
1,7,10,0.1,1.8372748,0.18262699,0.82527405,0.82937366,0.2136744,0.0066005173,32.414673,-2.1855586,75.61837,1.3199556,0.4273488,0.013201035,0.90844595,-0.0612519,0.91069955,0.015896672,254.11798,262.1786,356.09888,0.86560297,0.7558866,0.13894616
1,8,10,0.1,1.875678,0.20019777,0.82594097,0.84953916,0.22371733,0.0082138395,32.42777,-2.3494387,76.53214,0.4716014,0.44743466,0.016427679,0.90881294,-0.0658448,0.9217045,0.0056796893,254.21822,262.3425,356.94724,1.8778373,0.7558866,0.14637452
1,9,10,0.1,1.931804,0.22565293,0.83223504,0.87391585,0.2375147,-0.0040937746,32.55109,0.4554579,77.62238,5.3010144,0.4750294,-0.008187549,0.9122692,0.012764536,0.93483466,0.06384208,254.27585,262.45233,357.46332,-5.756472,0.95584995,0.15929997
1,10,10,0.1,1.8488364,0.183132,0.82748944,0.838215,0.21396962,0.008276361,32.45815,0.7646558,76.02035,6.7606244,0.42793924,0.016552722,0.90966445,0.021430045,0.9155408,0.081420645,254.2244,262.14313,356.00366,-7.52528,0.95584995,0.20184042
1,11,10,0.1,1.9158206,0.20958616,0.8439857,0.86224884,0.2289029,0.0034041177,32.780083,3.5543015,77.10251,9.779671,0.4578058,0.0068082353,0.9186869,0.09961205,0.92857355,0.11778009,254.20238,261.7462,356.14694,-13.333972,1.1231383,0.3434954
1,12,10,0.1,1.9617727,0.23219872,0.85611755,0.87345654,0.24093501,-0.008927568,33.014843,4.0142093,77.60199,10.050817,0.48187003,-0.017855136,0.9252662,0.1125013,0.93458897,0.121045634,254.1617,261.2863,355.87576,-14.065025,1.1231383,0.34735283
1,13,10,0.1,1.9102376,0.18651395,0.87740195,0.84632164,0.2159363,0.0036685125,33.422726,6.22792,76.387085,13.026754,0.4318726,0.007337025,0.93669736,0.17454232,0.9199574,0.15688594,254.03793,260.68378,353.79544,-19.254675,1.2521337,0.49443465
