ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.1,1.8789324,0.1761991,0.8619058,0.84082747,0.20988038,0.025189867,35.326336,-2.0244875,78.12583,-5.2024875,0.41976076,0.050379734,0.92838883,-0.053204294,0.91696644,-0.061061848,252.63597,251.41576,336.5771,7.226975,0.0,0.13567486
1,2,10,0.1,1.8979392,0.19727351,0.8579816,0.84268403,0.22207741,0.024638614,35.245827,-1.9956092,78.212036,-5.8186083,0.44415483,0.049277227,0.926273,-0.052445374,0.9179782,-0.06829333,252.66415,251.38692,337.1932,7.8142176,0.0,0.13362469
1,3,10,0.1,1.885815,0.19894727,0.8482184,0.8386494,0.22301753,0.01440758,35.044712,-1.9263815,78.02458,-6.2508507,0.44603506,0.02881516,0.9209877,-0.050625917,0.91577804,-0.07336642,252.66586,251.31767,337.6255,8.177232,0.0,0.14992344
1,4,10,0.1,1.8560284,0.17066701,0.85079616,0.8345653,0.20655932,0.022093825,35.097923,-1.7995796,77.834366,-5.598909,0.41311863,0.04418765,0.9223861,-0.04729351,0.9135454,-0.0657147,252.61353,251.19086,336.97357,7.3984885,0.0,0.129528
1,5,10,0.1,1.8870504,0.18479368,0.8583231,0.84393364,0.21493818,0.02569108,35.252834,2.0554538,78.27001,2.464956,0.42987636,0.05138216,0.9264573,0.054018136,0.9186586,0.0289313,252.61295,251.14095,337.42966,-4.5204096,0.31618056,0.16382776
1,6,10,0.1,1.9270135,0.20324123,0.87132597,0.8524463,0.22541142,0.01733109,35.51886,2.0347574,78.66376,2.1402822,0.45082283,0.03466218,0.93344843,0.053474158,0.9232802,0.025120629,252.61905,251.16165,337.75433,-4.1750393,0.31618056,0.14153816
1,7,10,0.1,1.9178274,0.1855065,0.882929,0.8493918,0.21535233,0.027667517,35.75457,2.1645496,78.5227,2.8265035,0.43070465,0.055335034,0.939643,0.05688517,0.92162454,0.03317488,252.57245,251.03185,337.06815,-4.991053,0.31618056,0.16728908
1,8,10,0.1,1.9734633,0.20025858,0.9044873,0.8687175,0.2237513,0.02693792,36.188446,2.2498667,79.41097,2.4221969,0.4475026,0.05387584,0.9510454,0.059127346,0.93205017,0.028429417,252.56487,250.94653,337.4724,-4.672064,0.31618056,0.17131402
1,9,10,0.1,1.9978,0.20691901,0.9150398,0.87584126,0.22744176,0.009461136,36.398933,1.8800702,79.7359,0.6841116,0.45488352,0.018922271,0.9565771,0.04940898,0.9358639,0.008029379,252.57474,250.93889,337.55917,-2.5641818,0.40584087,0.115089945
1,10,10,0.1,1.9642608,0.18646121,0.91209644,0.8657031,0.21590577,0.019956829,36.340347,1.8261515,79.27308,1.5114229,0.43181154,0.039913658,0.9550374,0.04799205,0.93043166,0.017739652,252.56616,250.99278,336.73184,-3.3375745,0.40584087,0.13227177
1,11,10,0.1,1.9727877,0.19140841,0.9118422,0.8695371,0.21875124,0.018001368,36.33528,1.5496099,79.448425,0.80589956,0.43750247,0.036002737,0.9549043,0.040724322,0.93248975,0.00945885,252.63545,251.26933,337.43735,-2.3555095,0.40584087,0.112045154
1,12,10,0.1,1.9556664,0.20123436,0.8899683,0.8644638,0.22429577,0.013654391,35.896816,1.2300724,79.21632,0.15433757,0.44859153,0.027308783,0.9433813,0.032326687,0.92976546,0.0018114996,252.71109,251.5889,338.08893,-1.3844099,0.40584087,0.07837511
1,13,10,0.1,1.8809936,0.17132033,0.8632805,0.8463928,0.2069543,0.010345581,35.3545,-0.3882767,78.38396,-2.8055062,0.4139086,0.020691162,0.9291289,-0.010204007,0.9199961,-0.03292829,252.73491,251.7586,337.57486,3.1937828,0.5337621,0.032649294
1,14,10,0.1,1.8933461,0.18130927,0.86350656,0.84853035,0.21290213,0.008467454,35.359123,-0.42550752,78.48288,-3.1076229,0.42580426,0.016934909,0.92925054,-0.011182496,0.92115706,-0.03647438,252.76544,251.79585,337.87698,3.5331304,0.5337621,0.029543092
1,15,10,0.1,1.9193127,0.20791869,0.8655223,0.8458717,0.22799051,0.00320763,35.40037,-0.27608296,78.359825,-3.0931385,0.45598102,0.00641526,0.9303345,-0.007255583,0.91971284,-0.03630432,252.75615,251.64641,337.86246,3.3692214,0.5337621,0.04168122
1,16,10,0.1,1.8858424,0.1692381,0.87329733,0.843307,0.2056928,0.011195064,35.559017,-0.09890408,78.24095,-2.1962273,0.4113856,0.022390127,0.9345038,-0.002599225,0.9183175,-0.025777219,252.70293,251.46922,336.9656,2.2951314,0.5337621,0.012521308
1,17,10,0.1,1.9077634,0.17590931,0.87777406,0.85407996,0.20970772,0.0035510792,35.65004,-1.1109989,78.73911,-4.8429103,0.41941544,0.0071021584,0.93689597,-0.029197365,0.9241645,-0.056841426,252.71684,251.49797,337.436,5.953909,0.6551641,0.08945079
1,18,10,0.1,1.8917627,0.19286087,0.8536143,0.84528756,0.21957964,-0.006836408,35.156002,-1.1307878,78.33276,-5.36065,0.43915927,-0.013672816,0.92391247,-0.029717512,0.9193952,-0.06291822,252.73055,251.51776,337.95377,6.491438,0.6551641,0.11123526
1,19,10,0.1,1.8278663,0.1762529,0.827955,0.8236584,0.20991242,0.0020130011,34.62358,-1.186398,77.32409,-4.872316,0.41982484,0.0040260023,0.90992033,-0.031178957,0.9075563,-0.05718651,252.7197,251.57335,337.46536,6.058714,0.6551641,0.097187154
1,20,10,0.1,1.8192312,0.1825343,0.81178826,0.8249086,0.21362017,-0.0010884989,34.283886,-1.1761348,77.38275,-5.531037,0.42724034,-0.0021769977,0.90099293,-0.030909335,0.9082448,-0.06491796,252.74988,251.56311,338.12415,6.7071714,0.6551641,0.10216028
1,21,10,0.1,1.8092134,0.19600308,0.79531187,0.8178985,0.22136118,-0.012839925,33.934185,-1.512822,77.053246,-5.5313945,0.44272235,-0.02567985,0.8918026,-0.039757535,0.9043774,-0.06492215,252.80252,251.79655,338.5516,7.0442166,0.7407981,0.13019636
1,22,10,0.1,1.7584205,0.1583471,0.79140496,0.80866843,0.19896425,-0.0009894458,33.85073,-1.5304956,76.617226,-4.797651,0.3979285,-0.0019788917,0.88960946,-0.040222023,0.8992599,-0.056310356,252.79425,251.81424,337.81787,6.3281465,0.7407981,0.116744414
1,23,10,0.1,1.7813576,0.16044316,0.79910684,0.8218076,0.20027678,-0.0018125926,34.01505,-1.6631522,77.23716,-5.564293,0.40055355,-0.0036251852,0.89392775,-0.043708254,0.90653604,-0.0653084,252.84474,251.94688,338.5845,7.227445,0.7407981,0.13008797
