ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.1,0.5149312,0.13415389,0.2857615,0.095015846,0.18313512,0.03817519,19.074116,8.202742,25.59471,-13.584152,0.36627024,0.07635038,0.53456664,0.22988814,0.3082464,-0.16359888,254.12619,263.45593,358.02652,5.3814106,0.0,0.4677565
1,2,10,0.1,0.5231566,0.14906248,0.27687934,0.097214766,0.19304305,0.035863083,18.775341,7.6509047,25.889181,-13.842795,0.3860861,0.071726166,0.52619326,0.21442243,0.31179282,-0.16671383,254.07217,262.88437,358.02374,6.1918907,0.0,0.44460177
1,3,10,0.1,0.48161948,0.16322367,0.23638357,0.082012236,0.20200475,0.005274937,17.348072,5.7380743,23.778889,-10.90088,0.4040095,0.010549874,0.48619294,0.16081394,0.2863778,-0.13128324,254.02754,262.37332,357.94232,5.1628056,0.45822248,0.4041482
1,4,10,0.1,0.3990993,0.10882119,0.21534102,0.074937075,0.16494028,0.01806994,16.557924,5.443057,22.73006,-10.353138,0.32988057,0.03613988,0.4640485,0.15254585,0.27374637,-0.1246866,253.97198,262.02548,356.13483,4.910081,0.45822248,0.35713303
1,5,10,0.1,0.32973552,0.09581856,0.17139141,0.062525555,0.15477286,0.013217298,14.771923,2.2420125,20.762566,-7.0693083,0.30954573,0.026434597,0.41399446,0.062834136,0.2500511,-0.085138224,254.02142,261.94742,356.85443,4.827296,0.85651034,0.22309142
1,6,10,0.1,0.37010086,0.11858887,0.18602233,0.06548964,0.17218368,0.0006562869,15.38952,2.7506547,21.249,-7.4972415,0.34436736,0.0013125738,0.43130305,0.07708919,0.25590944,-0.09029202,254.09952,262.114,357.49268,4.746587,0.85651034,0.28240073
1,7,10,0.1,0.2671633,0.061322063,0.15112935,0.054711897,0.12381646,0.014657794,13.871294,0.035508282,19.42196,-3.6657739,0.24763292,0.029315587,0.3887536,0.0009951447,0.23390575,-0.044148244,254.11798,262.1786,356.09888,3.6302655,1.2310796,0.12989421
1,8,10,0.1,0.29410514,0.08421996,0.15415388,0.055731293,0.14510338,0.015728433,14.009407,-0.450891,19.602062,-3.8016021,0.29020676,0.031456865,0.39262435,-0.012636582,0.23607476,-0.045784075,254.21822,262.3425,356.94724,4.252493,1.2310796,0.13059086
1,9,10,0.1,0.29476422,0.089322455,0.15330438,0.05213737,0.14943431,0.0044372906,13.970754,-2.1438003,18.959494,-0.95628726,0.29886863,0.008874581,0.39154103,-0.060081657,0.2283361,-0.01151693,254.27585,262.45233,357.46332,3.1000876,1.5807414,0.11950942
1,10,10,0.1,0.25479975,0.063429914,0.14023352,0.051136322,0.12592648,0.01626651,13.361907,-2.539681,18.7766,-0.6606311,0.25185296,0.03253302,0.37447765,-0.071176484,0.22613342,-0.007956218,254.2244,262.14313,356.00366,3.2003121,1.5807414,0.12030866
1,11,10,0.1,0.29016945,0.10824994,0.1315886,0.05033091,0.1645068,0.013254273,12.943499,-4.199781,18.628145,1.8323605,0.3290136,0.026508546,0.36275142,-0.11770206,0.22434552,0.022067802,254.20238,261.7462,356.14694,2.3674204,1.8978443,0.17346868
1,12,10,0.1,0.28298607,0.097430944,0.1338847,0.051670432,0.15606965,0.00057755393,13.055936,-3.5990243,18.874401,1.4746064,0.3121393,0.0011551079,0.36590257,-0.10086541,0.22731131,0.017759224,254.1617,261.2863,355.87576,2.1244178,1.8978443,0.13684136
1,13,10,0.1,0.26915774,0.08498971,0.13077042,0.053397607,0.14576498,0.012484371,12.903195,-4.5077896,19.187267,3.9006212,0.29152995,0.024968741,0.36162192,-0.12633426,0.23107922,0.04697661,254.03793,260.68378,353.79544,0.60716844,2.175305,0.20548046
1,14,10,0.1,0.29407498,0.10805576,0.13144068,0.05457855,0.16435918,0.012436648,12.936221,-4.687727,19.39828,3.59087,0.32871836,0.024873296,0.3625475,-0.13137713,0.23362052,0.04324615,254.02538,260.3358,354.08557,1.0968571,2.175305,0.22106434
1,15,10,0.1,0.28795087,0.106891185,0.12530975,0.055749953,0.16347109,-0.0024861281,12.63092,-4.719083,19.605345,4.787868,0.32694218,-0.0049722563,0.35399118,-0.13225587,0.23611428,0.057662033,254.00264,259.99554,354.00638,-0.06878519,2.4142559,0.19871043
1,16,10,0.1,0.25856403,0.08376473,0.12187888,0.052920416,0.14471069,0.0077748094,12.456808,-4.719414,19.10134,5.165151,0.28942138,0.015549619,0.34911156,-0.1322652,0.23004438,0.06220579,253.91304,259.5771,352.0819,-0.44573689,2.4142559,0.2165553
1,17,10,0.1,0.27219903,0.09935649,0.11947202,0.05337054,0.15760432,0.004310664,12.333197,-4.536544,19.182402,5.835735,0.31520864,0.008621328,0.34564725,-0.12714009,0.23102064,0.07028189,253.93317,259.3738,352.15924,-1.299191,2.6194286,0.21338935
1,18,10,0.1,0.29205564,0.11414085,0.120983616,0.056931168,0.16892369,-0.0071634213,12.410971,-4.2823005,19.81195,5.460611,0.33784738,-0.0143268425,0.347827,-0.120014705,0.23860253,0.06576411,253.95609,259.31708,352.4184,-1.1783104,2.6194286,0.19002543
1,19,10,0.1,0.2591204,0.08865596,0.11486915,0.05559528,0.14887576,0.0058445586,12.093283,-4.03544,19.578127,6.119718,0.29775152,0.011689117,0.3389235,-0.1130963,0.23578651,0.07370201,253.92033,259.25238,351.03433,-2.084278,2.7968044,0.21269685
1,20,10,0.1,0.27911386,0.109318644,0.11360008,0.056195144,0.16531685,0.0052158027,12.026295,-4.3222485,19.683468,5.954139,0.3306337,0.010431605,0.33704612,-0.121134296,0.23705515,0.07170787,253.93623,259.09378,351.75656,-1.6318908,2.7968044,0.22053552
