ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.1,0.43172085,0.09121967,0.26975,0.0707512,0.15101297,0.050913166,19.762842,2.5414395,22.662512,-16.093266,0.30202594,0.10182633,0.5193746,0.066790015,0.26599097,-0.18888739,252.63597,251.41576,336.5771,13.5518265,0.0,0.47257355
1,2,10,0.1,0.4422714,0.09671616,0.27335516,0.07220009,0.1554961,0.049006727,19.894468,2.3457892,22.89339,-16.040289,0.3109922,0.09801345,0.52283376,0.061648216,0.26870075,-0.18826562,252.66415,251.38692,337.1932,13.6945,0.0,0.47267014
1,3,10,0.1,0.49139386,0.121839345,0.29675162,0.07280289,0.17452747,0.04053131,20.728374,3.0187118,22.988758,-15.9792185,0.34905493,0.08106262,0.54474914,0.079332836,0.2698201,-0.18754882,252.66586,251.31767,337.6255,12.960506,0.0,0.52374136
1,4,10,0.1,0.4353356,0.088288285,0.2762719,0.07077541,0.14856672,0.04962359,20.000328,2.5889528,22.666393,-15.853562,0.29713345,0.09924718,0.52561575,0.06803863,0.26603648,-0.18607396,252.61353,251.19086,336.97357,13.264609,0.0,0.4754931
1,5,10,0.1,0.33710495,0.07380837,0.21008304,0.053213533,0.13583848,0.04394386,17.44071,0.042314317,19.654058,-12.604306,0.27167696,0.08788772,0.45834816,0.0011120613,0.23068058,-0.14793728,252.61295,251.14095,337.42966,12.561992,0.45824525,0.38789892
1,6,10,0.1,0.37110406,0.095181145,0.22139189,0.054531027,0.15425721,0.035805196,17.903978,0.758966,19.895876,-12.841755,0.30851442,0.07161039,0.470523,0.01994595,0.2335188,-0.15072426,252.61905,251.16165,337.75433,12.082788,0.45824525,0.42390946
1,7,10,0.1,0.3178369,0.06792499,0.19715527,0.052756626,0.13031211,0.046989422,16.89557,0.2814485,19.569498,-12.684217,0.26062423,0.093978845,0.4440217,0.0073965774,0.22968811,-0.14887522,252.57245,251.03185,337.06815,12.402769,0.45824525,0.38241267
1,8,10,0.1,0.3264336,0.075048365,0.1980969,0.053288348,0.13697478,0.044938445,16.935871,0.100522436,19.667871,-12.882222,0.27394956,0.08987689,0.4450808,0.0026417838,0.2308427,-0.15119922,252.56487,250.94653,337.4724,12.7817,0.45824525,0.3828037
1,9,10,0.1,0.2787159,0.07618531,0.16269447,0.03983615,0.13800843,0.0345243,15.348114,-0.8211799,17.005129,-9.674572,0.27601686,0.0690486,0.40335402,-0.021580927,0.19958995,-0.11355088,252.57474,250.93889,337.55917,10.495752,0.8774657,0.33618438
1,10,10,0.1,0.25516796,0.063108966,0.15393157,0.038127434,0.12560749,0.04344503,14.929062,-1.1582694,16.636425,-9.534505,0.25121498,0.08689006,0.39234114,-0.030439708,0.19526248,-0.111906916,252.56616,250.99278,336.73184,10.692774,0.8774657,0.3182031
1,11,10,0.1,0.26973498,0.0713719,0.15971518,0.038647912,0.1335776,0.04109499,15.206938,-1.5478811,16.749592,-9.539928,0.2671552,0.08218998,0.3996438,-0.04067888,0.19659072,-0.11197057,252.63545,251.26933,337.43735,11.08781,0.8774657,0.32527816
1,12,10,0.1,0.29479325,0.08203322,0.17174414,0.041015908,0.1432072,0.036980066,15.769198,-1.1636257,17.255095,-9.546322,0.2864144,0.07396013,0.41442025,-0.03058052,0.20252384,-0.112045616,252.71109,251.5889,338.08893,10.709948,0.8774657,0.34453747
1,13,10,0.1,0.22228205,0.06388347,0.12561098,0.032787606,0.1263759,0.04204451,13.485979,-2.3482528,15.427519,-6.001728,0.2527518,0.08408902,0.3544164,-0.06171295,0.18107349,-0.070442565,252.73491,251.7586,337.57486,8.349981,1.2697523,0.27764866
1,14,10,0.1,0.23500915,0.07512277,0.12601306,0.03387332,0.13704267,0.04111127,13.507545,-2.4090953,15.680868,-6.105593,0.27408534,0.08222254,0.35498318,-0.0633119,0.18404706,-0.071661614,252.76544,251.79585,337.87698,8.5146885,1.2697523,0.2808869
1,15,10,0.1,0.26267472,0.09038064,0.13632153,0.035972558,0.15031686,0.034060873,14.049177,-1.9335182,16.159462,-6.3213882,0.30063373,0.068121746,0.36921746,-0.05081355,0.18966433,-0.07419444,252.75615,251.64641,337.86246,8.254907,1.2697523,0.28816044
1,16,10,0.1,0.23717026,0.07007595,0.13086483,0.03622948,0.13235931,0.04257843,13.765122,-2.363557,16.217064,-6.3806953,0.26471862,0.08515686,0.36175245,-0.062115148,0.19034043,-0.07489051,252.70293,251.46922,336.9656,8.744252,1.2697523,0.29016688
1,17,10,0.1,0.21162876,0.07646169,0.10186679,0.033300273,0.13825853,0.037599687,12.144649,-2.385711,15.547662,-3.4268281,0.27651706,0.07519937,0.31916577,-0.06269735,0.18248363,-0.040220827,252.71684,251.49797,337.436,5.812539,1.6240814,0.23647964
1,18,10,0.1,0.21923156,0.08050513,0.10499479,0.033731643,0.14186713,0.028499054,12.329702,-2.0388265,15.64804,-3.259588,0.28373426,0.056998108,0.324029,-0.053581078,0.18366176,-0.03825793,252.73055,251.51776,337.95377,5.298414,1.6240814,0.23084486
1,19,10,0.1,0.19857821,0.06691207,0.099593185,0.03207297,0.12933683,0.036381233,12.008352,-2.4080994,15.258464,-2.865955,0.25867367,0.07276247,0.31558388,-0.06328571,0.17908928,-0.033637848,252.7197,251.57335,337.46536,5.2740545,1.6240814,0.23647378
1,20,10,0.1,0.20379405,0.07237354,0.10048468,0.030935835,0.13451165,0.034232628,12.061979,-2.6455023,14.98553,-2.7548862,0.2690233,0.068465255,0.31699318,-0.06952477,0.17588586,-0.03233422,252.74988,251.56311,338.12415,5.4003887,1.6240814,0.23875822
1,21,10,0.1,0.18167926,0.07471413,0.07940375,0.027561381,0.13666943,0.020045219,10.72233,-1.5781333,14.144633,-0.009428699,0.27333885,0.040090438,0.2817867,-0.0414739,0.1660162,-0.000110665955,252.80252,251.79655,338.5516,1.5875621,1.947079,0.18322417
1,22,10,0.1,0.16593295,0.0628954,0.07645958,0.026577974,0.12539478,0.030883,10.521668,-1.7529835,13.889998,0.07022827,0.25078955,0.061766,0.27651325,-0.04606906,0.16302752,0.00082427205,252.79425,251.81424,337.81787,1.6827552,1.947079,0.18598299
1,23,10,0.1,0.16702029,0.06534276,0.07429633,0.027381204,0.12781115,0.029077401,10.3717575,-1.7531607,14.098323,-0.050379742,0.2556223,0.058154803,0.27257353,-0.046073694,0.16547267,-0.0005913106,252.84474,251.94688,338.5845,1.8035405,1.947079,0.18455015
1,24,10,0.1,0.18223867,0.07699444,0.076367274,0.028876964,0.13873936,0.021503126,10.515317,-1.2216419,14.478281,-0.23794478,0.27747872,0.043006252,0.2763463,-0.03210519,0.16993223,-0.0027927605,252.8608,252.03477,338.91705,1.4595866,1.947079,0.17146252
1,25,10,0.1,0.14075004,0.056613863,0.05527779,0.028858375,0.11896834,0.023756487,8.946312,-0.44925255,14.473619,2.1132689,0.23793668,0.047512975,0.2351123,-0.011806526,0.16987753,0.024803542,252.84056,252.0348,338.19083,-1.6640162,2.241904,0.124685675
1,26,10,0.1,0.15058555,0.06606979,0.055411085,0.029104674,0.12852022,0.021410752,8.957091,-0.63565147,14.535254,1.9823433,0.25704044,0.042821504,0.2353956,-0.01670515,0.17060092,0.023266852,252.92464,252.34093,338.73737,-1.3466918,2.241904,0.12420361
1,27,10,0.1,0.17027155,0.08224848,0.057540927,0.030482149,0.14339498,0.015157197,9.12761,-0.47210103,14.87524,1.8215437,0.28678995,0.030314393,0.2398769,-0.012406986,0.17459138,0.021379547,252.9826,252.57635,339.14453,-1.3494427,2.241904,0.11803537
1,28,10,0.1,0.15223882,0.061361022,0.0600187,0.030859105,0.123855785,0.02422591,9.3220625,-0.48230442,14.966935,1.8832183,0.24771157,0.04845182,0.24498715,-0.012675143,0.1756676,0.022103416,252.94728,252.45361,338.25095,-1.4009138,2.241904,0.12170589
1,29,10,0.1,0.15491888,0.06644718,0.05414336,0.03432833,0.12888676,0.013918978,8.854035,0.7122237,15.785834,3.622087,0.25777352,0.027837956,0.23268726,0.018717503,0.18527906,0.0425126,252.97446,252.39331,338.75095,-4.3343105,2.5081005,0.09462263
1,30,10,0.1,0.16438113,0.07790341,0.05172509,0.034752626,0.13955592,0.006872535,8.654049,0.9784678,15.883091,3.742079,0.27911183,0.01374507,0.2274315,0.025714498,0.18642056,0.04392096,253.01549,252.47368,339.1882,-4.7205467,2.5081005,0.08862364
1,31,10,0.1,0.13493487,0.053044073,0.049998447,0.031892348,0.115156494,0.014000021,8.508381,0.7126646,15.215439,3.9341445,0.23031299,0.028000042,0.22360332,0.018729085,0.17858429,0.046175234,253.01591,252.63403,338.48825,-4.646809,2.5081005,0.092821166
1,32,10,0.1,0.14468081,0.06460406,0.048618335,0.031458423,0.12708664,0.013711912,8.39013,0.48942629,15.111572,4.0476356,0.25417328,0.027423823,0.22049566,0.0128623,0.17736523,0.047507282,253.07828,252.85677,339.15625,-4.5370617,2.5081005,0.09921814
1,33,10,0.1,0.15834084,0.07210059,0.0502415,0.035998747,0.13425776,-0.003681935,8.5290365,1.2380114,16.165344,5.226706,0.26851553,-0.00736387,0.22414616,0.032535378,0.18973336,0.06134609,253.1448,253.09375,339.85867,-6.4647174,2.746389,0.08859175
1,34,10,0.1,0.14440581,0.052003585,0.053347435,0.039054796,0.11402147,0.0045128637,8.788715,1.1968542,16.83753,5.2665696,0.22804295,0.009025727,0.23097064,0.031453762,0.19762287,0.06181397,253.12286,253.04225,339.20746,-6.4634237,2.746389,0.08821928
1,35,10,0.1,0.15927014,0.06691429,0.05354136,0.038814478,0.12933898,0.0038580575,8.804675,1.1744534,16.785646,4.9705772,0.25867796,0.007716115,0.23139006,0.030865071,0.1970139,0.05833989,253.09822,252.86923,339.2402,-6.1450305,2.746389,0.08247292
1,36,10,0.1,0.17462473,0.0823423,0.05462421,0.03765822,0.14347674,-0.00388359,8.893266,1.3928524,16.53374,4.8376684,0.28695348,-0.00776718,0.23371823,0.036604673,0.19405726,0.056779932,253.10017,252.83217,339.25705,-6.2305207,2.746389,0.07429971
1,37,10,0.1,0.14936942,0.05309967,0.057874475,0.038395274,0.11521683,-0.0048515,9.154027,1.5512499,16.694757,5.8461585,0.23043366,-0.009703,0.24057114,0.0407674,0.19594713,0.06861663,253.10742,252.92088,338.9816,-7.3974085,2.9553363,0.09017476
1,38,10,0.1,0.15791997,0.06573093,0.05500709,0.037181966,0.12819022,-0.006175562,8.924379,1.4660504,16.428858,5.953055,0.25638044,-0.012351124,0.2345359,0.038528334,0.19282626,0.06987128,253.14229,253.00699,339.5141,-7.4191055,2.9553363,0.091356486
1,39,10,0.1,0.16947481,0.07569913,0.056415543,0.037360128,0.13756737,-0.013443736,9.037911,1.4610279,16.46817,5.8415,0.27513474,-0.026887473,0.23751956,0.038396325,0.19328769,0.06856195,253.15503,253.06519,339.666,-7.3025274,2.9553363,0.09820846
1,40,10,0.1,0.14642636,0.051556226,0.05728659,0.037583545,0.11352998,-0.0046708956,9.107415,1.3478093,16.51734,5.822504,0.22705996,-0.009341791,0.23934618,0.035420913,0.19386476,0.06833899,253.09947,252.89763,338.90033,-7.1703134,2.9553363,0.08750554
1,41,10,0.1,0.16464424,0.059470385,0.06492694,0.040246923,0.12193275,-0.014286788,9.6957445,1.430368,17.092577,5.823748,0.2438655,-0.028573576,0.25480765,0.037590582,0.20061636,0.06835359,253.07019,252.6166,339.16013,-7.254116,3.1350873,0.11395532
1,42,10,0.1,0.20355779,0.08609704,0.072341,0.04511975,0.14671148,-0.021886297,10.234366,1.5517111,18.097748,5.640877,0.29342297,-0.043772593,0.26896283,0.040779527,0.2124141,0.06620722,253.1032,252.70879,339.3947,-7.192588,3.1350873,0.12994167
1,43,10,0.1,0.18280496,0.06368496,0.072602935,0.04651706,0.1261794,-0.012785485,10.252877,1.442127,18.375847,5.6288214,0.2523588,-0.02557097,0.26944932,0.037899606,0.21567814,0.06606573,253.1309,252.89655,338.8711,-7.0709486,3.1350873,0.1286827
1,44,10,0.1,0.18026842,0.06845991,0.067117736,0.044690773,0.13082422,-0.015605786,9.857965,1.3709319,18.01151,5.539109,0.26164845,-0.031211572,0.2590709,0.036028598,0.21140192,0.065012775,253.1904,253.09583,339.40054,-6.910041,3.1350873,0.11985992
1,45,10,0.1,0.19775045,0.08477245,0.06938563,0.04359237,0.14557855,-0.028022124,10.023131,0.9736814,17.78879,5.467467,0.2911571,-0.056044247,0.26341152,0.025588691,0.20878786,0.064171895,253.20123,253.07245,339.59708,-6.4411483,3.2844064,0.1384877
1,46,10,0.1,0.1756664,0.059524033,0.0719981,0.044144273,0.12198774,-0.019362127,10.210081,0.99035954,17.901047,5.5647492,0.24397548,-0.038724255,0.2683246,0.02602703,0.21010539,0.065313704,253.16869,253.03911,338.67508,-6.555109,3.2844064,0.13068448
1,47,10,0.1,0.18714774,0.06960057,0.073963,0.043584168,0.1319096,-0.019432116,10.348465,1.0095074,17.787119,5.470206,0.2638192,-0.038864233,0.2719614,0.026530214,0.20876822,0.06420406,253.2178,253.2335,339.03378,-6.4797134,3.2844064,0.133022
1,48,10,0.1,0.21102068,0.08843816,0.078529865,0.044052664,0.14869277,-0.029059442,10.663165,1.0002275,17.882462,5.471438,0.29738554,-0.058118884,0.2802318,0.026286338,0.20988727,0.06421852,253.31183,253.57086,339.73248,-6.4716654,3.2844064,0.14721969
1,49,10,0.1,0.1789001,0.05900057,0.078957625,0.0409419,0.12145016,-0.021787012,10.692167,0.27716035,17.239521,5.386538,0.24290033,-0.043574024,0.280994,0.0072838706,0.20234105,0.06322206,253.36812,253.90063,339.7232,-5.663698,3.4054155,0.15320717
1,50,10,0.1,0.18426499,0.070300944,0.075446,0.03851805,0.13257162,-0.021715868,10.451697,0.065485485,16.721428,5.5046105,0.26514325,-0.043431737,0.27467436,0.0017209486,0.19626015,0.06460787,253.42317,254.15207,340.54605,-5.570096,3.4054155,0.14344527
