ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.1,0.690403,0.13473016,0.48361647,0.072056346,0.18352804,0.018243495,24.813786,16.374825,22.288885,-5.5499454,0.36705607,0.03648699,0.6954254,0.45891702,0.26843312,-0.06684001,254.12619,263.45593,358.02652,-10.824879,0.0,0.8176726
1,2,10,0.1,0.68070954,0.15018585,0.45895207,0.07157164,0.1937691,0.015960433,24.172756,15.642373,22.21379,-5.6440887,0.3875382,0.031920865,0.67746,0.43838948,0.26752877,-0.067973815,254.07217,262.88437,358.02374,-9.998284,0.0,0.77270633
1,3,10,0.1,0.6257979,0.17511298,0.3857647,0.06492024,0.20923251,-0.011645873,22.161737,13.446454,21.156425,-3.0861373,0.41846502,-0.023291746,0.6210996,0.3768472,0.2547945,-0.037167463,254.02754,262.37332,357.94232,-10.360317,0.4582496,0.7253738
1,4,10,0.1,0.5219641,0.115321964,0.34334692,0.06329518,0.16979544,0.0009446066,20.907839,12.973308,20.889956,-2.8487623,0.33959088,0.0018892132,0.5859581,0.3635868,0.25158533,-0.034308657,253.97198,262.02548,356.13483,-10.124545,0.4582496,0.65834314
1,5,10,0.1,0.4033657,0.09978955,0.24505837,0.058517784,0.15794742,0.0037782963,17.663523,9.040267,20.086123,0.070248075,0.31589484,0.0075565926,0.4950337,0.2533604,0.2419045,0.0008460247,254.02142,261.94742,356.85443,-9.110515,0.8295296,0.4626342
1,6,10,0.1,0.46035662,0.12648135,0.27539426,0.058480997,0.17782108,-0.008220595,18.72492,9.805576,20.079811,-0.16585009,0.35564217,-0.01644119,0.5247802,0.27480873,0.24182844,-0.0019974227,254.09952,262.114,357.49268,-9.639727,0.8295296,0.5393155
1,7,10,0.1,0.30420178,0.05944695,0.18960236,0.055152487,0.121908724,0.011255281,15.536903,6.284298,19.500004,2.2207434,0.24381745,0.022510562,0.43543354,0.17612226,0.23484567,0.026745236,254.11798,262.1786,356.09888,-8.505041,1.1605281,0.32682025
1,8,10,0.1,0.32907462,0.08311598,0.19024,0.05571865,0.14414921,0.012356981,15.5630045,5.7434564,19.599838,2.2130566,0.28829843,0.024713961,0.4361651,0.16096471,0.23604798,0.026652642,254.21822,262.3425,356.94724,-7.956513,1.1605281,0.304613
1,9,10,0.1,0.31085467,0.08791603,0.1688599,0.054078747,0.14825319,0.0026058475,14.662425,3.3143446,19.309256,2.6795006,0.29650638,0.005211695,0.41092566,0.09288705,0.23254837,0.03227021,254.27585,262.45233,357.46332,-5.993845,1.4688649,0.22385882
1,10,10,0.1,0.25590107,0.055896387,0.14703414,0.052970532,0.11821208,0.01480493,13.682064,2.8062677,19.11038,2.8081434,0.23642416,0.02960986,0.3834503,0.07864781,0.23015328,0.033819504,254.2244,262.14313,356.00366,-5.6144114,1.4688649,0.1694758
1,11,10,0.1,0.26709938,0.09321311,0.124217965,0.049668316,0.15265411,0.011337121,12.575774,-0.1792416,18.50512,2.4190888,0.30530822,0.022674242,0.3524457,-0.0050233686,0.2228639,0.029133959,254.20238,261.7462,356.14694,-2.2398472,1.7559063,0.06949246
1,12,10,0.1,0.2698498,0.08825976,0.13157435,0.050015695,0.14854272,-0.001066381,12.942798,0.538931,18.56972,2.1641338,0.29708543,-0.002132762,0.36273178,0.015103957,0.22364189,0.026063435,254.1617,261.2863,355.87576,-2.703065,1.7559063,0.11556461
1,13,10,0.1,0.23487516,0.061269544,0.12699118,0.04661442,0.12376343,0.010081958,12.71538,-1.9643376,17.927195,1.6137558,0.24752685,0.020163916,0.35635823,-0.055052094,0.21590373,0.019435026,254.03793,260.68378,353.79544,0.35058177,2.0116954,0.101118535
1,14,10,0.1,0.25854447,0.08290225,0.13006645,0.045575764,0.14396375,0.009858314,12.868419,-2.178175,17.726343,1.5096993,0.2879275,0.019716628,0.36064726,-0.06104501,0.21348481,0.018181864,254.02538,260.3358,354.08557,0.6684756,2.0116954,0.10849324
1,15,10,0.1,0.25720224,0.08031135,0.13325392,0.043636978,0.14169629,-0.0055135116,13.025144,-3.7883055,17.34521,0.26798594,0.28339258,-0.011027023,0.36503962,-0.10617013,0.20889466,0.0032274458,254.00264,259.99554,354.00638,3.5203195,2.23913,0.16837484
1,16,10,0.1,0.23330036,0.06161898,0.12886994,0.042811435,0.124115855,0.004650214,12.809092,-3.8116806,17.180353,0.39684752,0.24823171,0.009300428,0.3589846,-0.1068253,0.20690924,0.0047793724,253.91304,259.5771,352.0819,3.414833,2.23913,0.17928028
1,17,10,0.1,0.27063838,0.08871454,0.14169715,0.040226683,0.14892493,0.0006140454,13.431457,-5.2420697,16.653645,-0.67172706,0.29784986,0.0012280908,0.37642682,-0.146913,0.2005659,-0.008089866,253.93317,259.3738,352.15924,5.913797,2.4379158,0.2442124
1,18,10,0.1,0.27658898,0.09309828,0.14266825,0.040822443,0.15256006,-0.010765586,13.477403,-4.9589963,16.776512,-0.91486657,0.3051201,-0.021531172,0.3777145,-0.13897966,0.20204565,-0.011018053,253.95609,259.31708,352.4184,5.8738627,2.4379158,0.2287079
1,19,10,0.1,0.26544467,0.076268755,0.15059978,0.038576115,0.138084,0.0012111326,13.846968,-6.1237683,16.308403,-1.4112369,0.276168,0.0024222652,0.38807186,-0.17162329,0.19640803,-0.01699603,253.92033,259.25238,351.03433,7.535005,2.6075268,0.29636475
1,20,10,0.1,0.29013443,0.100457616,0.1511497,0.03852709,0.15847525,0.0014308784,13.872226,-6.40148,16.298037,-1.4198935,0.3169505,0.0028617568,0.38877976,-0.17940634,0.19628319,-0.017100304,253.93623,259.09378,351.75656,7.821374,2.6075268,0.30259982
1,21,10,0.1,0.27695656,0.08302428,0.15638089,0.0375514,0.14406967,-0.008072147,14.110238,-6.6857505,16.090342,-1.9498701,0.28813934,-0.016144294,0.39545023,-0.18737328,0.19378184,-0.023482997,253.93173,258.9217,351.56573,8.63562,2.7517958,0.31139857
1,22,10,0.1,0.26927316,0.07821449,0.15475574,0.036302924,0.13983427,0.003648586,14.036729,-6.570532,15.820601,-1.9270903,0.27966854,0.007297172,0.39339006,-0.18414418,0.19053327,-0.023208657,253.87091,258.59018,349.73508,8.4976225,2.7517958,0.31478253
1,23,10,0.1,0.28322095,0.09118682,0.15690504,0.035129093,0.15098578,0.0027784673,14.133866,-6.579478,15.562725,-1.9266021,0.30197155,0.0055569345,0.3961124,-0.18439488,0.18742757,-0.023202762,253.90208,258.54556,350.11783,8.50608,2.8741481,0.3134035
1,24,10,0.1,0.2716162,0.07962058,0.15642971,0.0355659,0.1410856,-0.0088836625,14.112442,-6.1863365,15.659183,-2.1132011,0.2821712,-0.017767325,0.39551196,-0.17337681,0.18858925,-0.025450058,253.87923,258.2182,350.01047,8.299538,2.8741481,0.2988841
