ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.1,0.46544424,0.07895438,0.33102384,0.05546603,0.14049411,0.02859405,21.892649,12.078332,20.06572,-7.128442,0.28098822,0.0571881,0.5753467,0.31742287,0.23551227,-0.08366687,252.63597,251.41576,336.5771,-4.94989,0.0,0.6290973
1,2,10,0.1,0.47340864,0.085438564,0.3320219,0.05594819,0.14614938,0.026618956,21.92563,11.858184,20.152744,-7.0804815,0.29229876,0.05323791,0.5762134,0.31163734,0.2365337,-0.08310393,252.66415,251.38692,337.1932,-4.7777023,0.0,0.6256481
1,3,10,0.1,0.54155844,0.115615346,0.36877716,0.057165977,0.17001128,0.017792195,23.107378,12.74396,20.370892,-7.1352787,0.34002256,0.03558439,0.60727024,0.33491594,0.23909408,-0.08374705,252.66586,251.31767,337.6255,-5.6086817,0.0,0.6973148
1,4,10,0.1,0.46650407,0.07688437,0.33378407,0.055835623,0.13864015,0.02724256,21.983736,12.168955,20.132462,-6.9783783,0.2772803,0.05448512,0.5777405,0.31980455,0.23629563,-0.08190557,252.61353,251.19086,336.97357,-5.1905766,0.0,0.63306105
1,5,10,0.1,0.3441746,0.06145952,0.23544613,0.047268946,0.12395515,0.020579157,18.463518,9.147862,18.523762,-3.9608438,0.2479103,0.041158315,0.4852279,0.24040912,0.21741423,-0.046488598,252.61295,251.14095,337.42966,-5.1870184,0.45824167,0.49435705
1,6,10,0.1,0.39564127,0.083991565,0.26367885,0.047970846,0.14490649,0.012388275,19.53918,10.10661,18.660786,-4.138646,0.28981298,0.02477655,0.5134967,0.26560536,0.21902248,-0.048575487,252.61905,251.16165,337.75433,-5.967964,0.45824167,0.5638429
1,7,10,0.1,0.32459617,0.050974615,0.22680299,0.046818558,0.11288779,0.02342308,18.121456,9.463922,18.4353,-3.943857,0.22577558,0.04684616,0.47623837,0.24871525,0.21637596,-0.046289235,252.57245,251.03185,337.06815,-5.5200644,0.45824167,0.4955366
1,8,10,0.1,0.33548677,0.06096611,0.2274921,0.047028556,0.12345658,0.02128743,18.148964,9.278252,18.476597,-4.016445,0.24691316,0.04257486,0.4769613,0.24383584,0.21686068,-0.04714119,252.56487,250.94653,337.4724,-5.2618065,0.45824167,0.49121338
1,9,10,0.1,0.2810182,0.059344284,0.18024045,0.04143345,0.12180341,0.0096501615,16.154547,7.479333,17.342703,-1.2426236,0.24360682,0.019300323,0.42454734,0.19655956,0.20355208,-0.014584743,252.57474,250.93889,337.55917,-6.2367096,0.9042783,0.4168048
1,10,10,0.1,0.2447823,0.043107424,0.16114414,0.04053075,0.10381164,0.018744847,15.274815,7.003748,17.15274,-1.1189264,0.20762327,0.037489694,0.40142763,0.18406104,0.2013225,-0.013132897,252.56616,250.99278,336.73184,-5.8848214,0.9042783,0.36978045
