ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,1.5828818,0.20507249,0.44127837,0.93653095,0.22642465,-0.007906233,23.702757,-6.572326,80.355064,-32.233856,0.4528493,-0.015812466,0.66428787,-0.18419443,0.9677453,-0.38820407,254.12619,263.45593,358.02652,38.806183,16.690844,6.6235986
1,2,10,0.01,1.5994363,0.21321636,0.45867357,0.9275464,0.23087679,-0.011157488,24.165422,-5.432817,79.96869,-32.128418,0.46175358,-0.022314977,0.67725444,-0.15225887,0.9630921,-0.38693425,254.07217,262.88437,358.02374,37.561234,16.690844,6.60193
1,3,10,0.01,0.7530217,0.2224894,0.23188111,0.29865122,0.23584391,-0.020226562,17.18206,-2.2122586,45.376846,18.035564,0.47168782,-0.040453125,0.48154035,-0.062000245,0.5464899,0.21720886,254.02754,262.37332,357.94232,-15.823306,16.687977,2.7835371
1,4,10,0.01,0.654917,0.1643909,0.2355501,0.254976,0.20272574,-0.0056849634,17.317461,-1.443564,41.927776,19.562746,0.40545148,-0.011369927,0.48533505,-0.040456984,0.5049515,0.23560128,253.97198,262.02548,356.13483,-18.119183,16.687977,2.8285213
1,5,10,0.01,0.61657286,0.16391788,0.30933797,0.14331697,0.20243387,0.0047551654,19.845367,12.632879,31.4341,10.7436075,0.40486774,0.009510331,0.5561816,0.35404614,0.3785723,0.12938918,254.02142,261.94742,356.85443,-23.376488,16.691013,3.3617363
1,6,10,0.01,0.6833645,0.1784129,0.3418262,0.16312541,0.21119475,-0.008890909,20.861483,12.439951,33.536137,10.755309,0.4223895,-0.017781818,0.58465904,0.34863913,0.40388787,0.1295301,254.09952,262.114,357.49268,-23.19526,16.691013,3.3476398
1,7,10,0.01,0.5361426,0.12135878,0.28185266,0.13293111,0.17418294,0.0057255537,18.943209,9.495373,30.273705,7.9546747,0.34836587,0.011451107,0.530898,0.2661151,0.3645972,0.095801055,254.11798,262.1786,356.09888,-17.450047,16.69211,2.89479
1,8,10,0.01,0.54244107,0.1354736,0.26280424,0.14416327,0.18403369,0.009247587,18.291893,10.184531,31.526772,6.925723,0.36806738,0.018495174,0.51264435,0.28542924,0.37968838,0.08340898,254.21822,262.3425,356.94724,-17.110254,16.69211,2.9638803
1,9,10,0.01,0.36319256,0.1187334,0.12668157,0.117777586,0.17228857,-0.008267642,12.699869,1.7867188,28.495972,2.8213024,0.34457713,-0.016535284,0.35592353,0.050074164,0.3431874,0.033977948,254.27585,262.45233,357.46332,-4.6080213,16.69167,1.1072019
1,10,10,0.01,0.33923793,0.10220912,0.116818115,0.12021069,0.1598508,0.0057183634,12.195446,2.3876708,28.78881,4.0036416,0.3197016,0.011436727,0.34178665,0.0669163,0.34671414,0.04821731,254.2244,262.14313,356.00366,-6.3913126,16.69167,1.2576506
