ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,2.6334476,0.28454316,0.7576795,1.5912249,0.26671293,0.00542603,33.12161,-2.767717,107.47489,-29.714514,0.53342587,0.01085206,0.8704479,-0.0727366,1.2614377,-0.34876058,253.44098,253.19496,339.12674,32.48223,13.68661,8.6561775
1,2,10,0.01,2.677434,0.30064672,0.76902974,1.6077574,0.2741563,0.003421249,33.368774,-2.8168144,108.03177,-29.450726,0.5483126,0.006842498,0.8769434,-0.07402696,1.2679738,-0.34566447,253.37492,252.8641,339.22464,32.26754,13.68661,8.837265
1,3,10,0.01,2.7324195,0.344725,0.75231904,1.6353755,0.29356644,-0.0025559405,33.00424,-2.1654904,108.955696,-30.266537,0.5871329,-0.005111881,0.8673633,-0.05690986,1.278818,-0.35523978,253.31229,252.57848,339.22614,32.432026,13.68661,8.789884
1,4,10,0.01,2.6618433,0.279892,0.77093273,1.6110187,0.2645241,0.0047104927,33.41003,-2.108912,108.14127,-28.475006,0.5290482,0.009420985,0.87802774,-0.055422917,1.2692591,-0.33421257,253.23888,252.28624,338.54605,30.583918,13.68661,8.834248
1,5,10,0.01,1.3127854,0.21150811,0.3947523,0.7065249,0.22995006,-0.0054854006,23.907324,2.4168155,71.61516,-6.2529964,0.4599001,-0.010970801,0.62829316,0.063514784,0.84055036,-0.07339168,253.23166,252.15302,338.61072,3.836181,13.679437,4.9377003
1,6,10,0.01,1.3420877,0.23503149,0.38470525,0.7223511,0.24240023,-0.010927731,23.601128,2.8620574,72.41281,-7.315056,0.48480046,-0.021855462,0.6202461,0.07521586,0.8499124,-0.08585718,253.2447,252.20015,338.76895,4.452998,13.679437,4.826435
1,7,10,0.01,1.2982793,0.2126284,0.39022776,0.6954232,0.23055823,0.00011264774,23.76992,3.1647947,71.05027,-6.1738443,0.46111646,0.00022529547,0.6246821,0.08317192,0.83392036,-0.07246267,253.19907,252.07347,338.19302,3.0090497,13.679437,4.880181
1,8,10,0.01,1.334415,0.22174756,0.39810103,0.7145663,0.2354504,-0.003926183,24.00852,3.0362337,72.02155,-6.269333,0.4709008,-0.007852366,0.6309525,0.07979328,0.8453202,-0.0735834,253.17316,251.89806,338.47687,3.2330992,13.679437,5.022103
1,9,10,0.01,0.6967958,0.16550447,0.2315737,0.29971763,0.2034112,-0.018858926,18.311052,6.3237286,46.644173,13.0061245,0.4068224,-0.037717853,0.48122105,0.16618985,0.5474647,0.15265346,253.15988,251.80525,338.61688,-19.329853,13.681237,1.7739474
1,10,10,0.01,0.66108274,0.13214193,0.2417503,0.28719053,0.18175666,-0.009995699,18.709068,6.509992,45.65899,14.270917,0.36351332,-0.019991398,0.4916811,0.17108494,0.5359016,0.16749841,253.09833,251.58862,337.8262,-20.780909,13.681237,1.7497854
