ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,2.260248,1.0171417,0.97462815,0.2684782,0.5042672,-0.09302168,35.225895,22.373205,43.0236,-30.187124,1.0085344,-0.18604337,0.98723257,0.6270261,0.51814884,-0.3635545,254.12619,263.45593,358.02652,7.813919,17.000746,8.655312
1,2,10,0.01,2.2942755,1.0818555,0.94524837,0.26717168,0.52006143,-0.10624117,34.690895,21.441795,42.91878,-29.804485,1.0401229,-0.21248233,0.97223884,0.6009227,0.51688653,-0.3589462,254.07217,262.88437,358.02374,8.36269,17.000746,8.420359
1,3,10,0.01,0.63856226,0.23501192,0.23144361,0.17210676,0.24239014,0.044768184,17.165844,5.341346,34.44698,-22.195875,0.48478028,0.08953637,0.48108587,0.14969532,0.4148575,-0.26731297,254.02754,262.37332,357.94232,16.85453,16.988504,2.3001058
1,4,10,0.01,0.5258335,0.17750087,0.21153174,0.13680087,0.21065426,0.06587619,16.41082,4.818361,30.711187,-19.899033,0.42130852,0.13175239,0.4599258,0.1350382,0.369866,-0.23965126,253.97198,262.02548,356.13483,15.080671,16.988504,1.8916109
1,5,10,0.01,0.59969944,0.3225425,0.22537608,0.051780894,0.28396413,0.09331561,16.93934,-9.139379,18.89457,-7.9148765,0.56792825,0.18663122,0.4747379,-0.2561381,0.22755416,-0.095321745,254.02142,261.94742,356.85443,17.054255,16.990652,2.9106917
1,6,10,0.01,0.4907112,0.21342842,0.20676553,0.07051726,0.23099157,0.0703239,16.224884,-8.534068,22.049559,-9.460149,0.46198314,0.1406478,0.45471478,-0.23917377,0.26555085,-0.113932006,254.09952,262.114,357.49268,17.994217,16.990652,2.3989294
1,7,10,0.01,0.42614165,0.20313561,0.18611123,0.03689484,0.22535284,0.037814956,15.393197,-9.788493,15.949057,0.22846445,0.45070568,0.07562991,0.4314061,-0.27433,0.19208029,0.0027514806,254.11798,262.1786,356.09888,9.560029,16.992147,2.381733
1,8,10,0.01,0.4772332,0.25148204,0.19010386,0.03564731,0.25073993,0.03830586,15.557435,-9.826769,15.6770935,1.030817,0.50147986,0.07661172,0.43600902,-0.2754027,0.18880495,0.012414513,254.21822,262.3425,356.94724,8.795952,16.992147,2.4020462
1,9,10,0.01,0.24624911,0.11773782,0.09312644,0.035384852,0.17156473,-0.015309328,10.888776,-5.760991,15.619277,6.048704,0.34312946,-0.030618656,0.30516624,-0.16145618,0.18810862,0.07284674,254.27585,262.45233,357.46332,-0.28771305,16.994816,1.0329841
1,10,10,0.01,0.2370223,0.11807657,0.085165255,0.033780474,0.17181136,-0.008342637,10.41295,-5.866729,15.261072,6.9927707,0.3436227,-0.016685273,0.29183087,-0.16441956,0.18379465,0.084216475,254.2244,262.14313,356.00366,-1.1260419,16.994816,1.1523707
1,11,10,0.01,0.24928854,0.1426161,0.07571162,0.030960832,0.18882273,-0.03253682,9.818017,-0.36624947,14.610278,10.348439,0.37764546,-0.06507364,0.27515745,-0.010264397,0.1759569,0.12463001,254.20238,261.7462,356.14694,-9.98219,16.998768,1.0791389
1,12,10,0.01,0.24775779,0.13527848,0.07945578,0.03302354,0.18390112,-0.04245985,10.057853,0.5895199,15.089124,9.505315,0.36780223,-0.0849197,0.281879,0.016521752,0.1817238,0.11447594,254.1617,261.2863,355.87576,-10.094834,16.998768,1.1229149
1,13,10,0.01,0.22297873,0.10480483,0.09400256,0.024171341,0.16186787,-0.041918147,10.939877,3.3161201,12.909296,8.406917,0.32373574,-0.083836295,0.30659837,0.09293682,0.15547135,0.101247564,254.03793,260.68378,353.79544,-11.723037,17.001997,1.294388
1,14,10,0.01,0.24868321,0.13079238,0.09487957,0.023011273,0.18082614,-0.044214062,10.99079,3.3133626,12.595707,8.581988,0.36165228,-0.088428125,0.30802527,0.09285949,0.15169467,0.103356,254.02538,260.3358,354.08557,-11.895351,17.001997,1.285248
1,15,10,0.01,0.2621908,0.16409767,0.08249772,0.0155954035,0.20254485,-0.053136963,10.248575,2.9672012,10.369327,4.9045005,0.4050897,-0.10627393,0.28722417,0.083158106,0.12488156,0.059066687,254.00264,259.99554,354.00638,-7.8717017,17.005005,1.4584931
1,16,10,0.01,0.21337989,0.11710083,0.08060496,0.015674101,0.17109999,-0.043157294,10.130325,2.850102,10.395454,5.1867332,0.34219998,-0.08631459,0.28391013,0.0798763,0.12519625,0.062465705,253.91304,259.5771,352.0819,-8.036835,17.005005,1.1987457
1,17,10,0.01,0.16848572,0.10271073,0.05483807,0.010936917,0.16024257,-0.027704133,8.355716,0.51283574,8.683597,2.7946923,0.32048514,-0.055408265,0.2341753,0.014372609,0.10457972,0.033657495,253.93317,259.3738,352.15924,-3.307528,17.008991,0.8771856
1,18,10,0.01,0.21267243,0.1426233,0.05744824,0.012600877,0.1888275,-0.032795962,8.55226,0.8588588,9.320787,2.2376115,0.377655,-0.065591924,0.23968363,0.024070172,0.11225363,0.026948376,253.95609,259.31708,352.4184,-3.0964704,17.008991,1.1427717
1,19,10,0.01,0.13531871,0.06407292,0.059688877,0.011556906,0.12656315,0.0027908478,8.717445,-1.2191595,8.92633,1.08902,0.2531263,0.0055816956,0.24431308,-0.03416787,0.10750305,0.013115463,253.92033,259.25238,351.03433,0.13013947,17.014368,0.55388814
