ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,0.82996136,0.35233545,0.3615708,0.116055086,0.29678926,-0.012478603,22.880491,3.4990664,29.025072,-18.435284,0.5935785,-0.024957206,0.6013076,0.091956705,0.3406686,-0.21637572,253.44098,253.19496,339.12674,14.936217,14.082288,2.5544922
1,2,10,0.01,0.8323164,0.34799033,0.37045944,0.11386665,0.29495353,-0.015665103,23.16002,3.2306867,28.750109,-18.096968,0.58990705,-0.031330206,0.6086538,0.08490366,0.33744133,-0.21240492,253.37492,252.8641,339.22464,14.8662815,14.082288,2.5341766
1,3,10,0.01,0.9222007,0.37309065,0.42888972,0.12022028,0.30540574,-0.023194969,24.919626,4.5665054,29.541334,-18.62288,0.6108115,-0.046389937,0.65489674,0.12000936,0.34672797,-0.21857762,253.31229,252.57848,339.22614,14.0563755,14.082288,2.8595345
1,4,10,0.01,0.814802,0.32674164,0.3725462,0.11551415,0.2858066,-0.013749525,23.22516,3.472205,28.957352,-18.015,0.5716132,-0.02749905,0.6103656,0.09125084,0.33987373,-0.21144286,253.23888,252.28624,338.54605,14.542794,14.082288,2.5222552
1,5,10,0.01,0.44881004,0.18180767,0.20821072,0.05879164,0.21319455,0.03131672,17.362818,-3.939647,20.658508,-11.368244,0.4263891,0.06263344,0.45630112,-0.10353535,0.24246988,-0.1334296,253.23166,252.15302,338.61072,15.307891,14.066016,1.4432374
1,6,10,0.01,0.47753546,0.19052206,0.2232819,0.06373149,0.21824417,0.024842195,17.980238,-2.7726312,21.508904,-12.226958,0.43648833,0.04968439,0.47252715,-0.072865754,0.25245097,-0.14350836,253.2447,252.20015,338.76895,14.99959,14.066016,1.539577
1,7,10,0.01,0.44427088,0.18462874,0.19908237,0.060559787,0.21484223,0.036733016,16.977942,-3.5098174,20.96686,-11.646881,0.42968446,0.07346603,0.44618648,-0.09223929,0.24608898,-0.1367,253.19907,252.07347,338.19302,15.156698,14.066016,1.4991814
1,8,10,0.01,0.4537799,0.18666025,0.20838447,0.058735203,0.21602097,0.03497778,17.370062,-4.12071,20.648594,-11.312667,0.43204194,0.06995556,0.45649147,-0.108293764,0.24235347,-0.13277727,253.17316,251.89806,338.47687,15.433376,14.066016,1.5410862
1,9,10,0.01,0.31656036,0.10744212,0.17594844,0.033169813,0.16389182,0.027407194,15.961046,-5.4565706,15.517177,-8.133565,0.32778364,0.054814387,0.41946208,-0.14340064,0.18212582,-0.09546402,253.15988,251.80525,338.61688,13.590136,14.059432,1.1249477
1,10,10,0.01,0.3232629,0.1251563,0.16675664,0.03134995,0.17688718,0.038223494,15.538541,-5.8751307,15.085498,-7.9134545,0.35377437,0.07644699,0.40835848,-0.15440057,0.17705917,-0.09288058,253.09833,251.58862,337.8262,13.788586,14.059432,1.183459
1,11,10,0.01,0.3097709,0.11720626,0.16270643,0.029858194,0.171177,0.03246034,15.3486805,-6.193647,14.722208,-7.4713006,0.342354,0.06492068,0.40336886,-0.16277128,0.17279524,-0.08769099,253.08928,251.51953,338.30264,13.6649475,14.059432,1.1537132
1,12,10,0.01,0.3077765,0.10976881,0.16414449,0.033863224,0.16565688,0.028363425,15.416359,-5.6012716,15.678531,-8.142253,0.33131376,0.05672685,0.4051475,-0.14720342,0.18401963,-0.09556599,253.05873,251.42033,338.20303,13.743525,14.059432,1.1025785
1,13,10,0.01,0.24897772,0.10663674,0.123889,0.01845199,0.1632764,0.025955841,13.393223,-4.019427,11.57345,-3.6473382,0.3265528,0.051911682,0.3519787,-0.105632,0.1358381,-0.042808972,252.99611,251.23141,337.1402,7.666765,14.054917,0.99773556
1,14,10,0.01,0.25075275,0.10347185,0.12967771,0.017603204,0.1608352,0.022177942,13.702549,-4.223686,11.304128,-3.4345717,0.3216704,0.044355884,0.36010793,-0.111000024,0.13267706,-0.040311728,252.9795,251.07451,337.40656,7.658258,14.054917,0.98561454
1,15,10,0.01,0.22621723,0.088817894,0.11680754,0.02059178,0.14901166,0.016308086,13.004812,-3.361561,12.226106,-4.4454727,0.2980233,0.032616172,0.3417712,-0.08834303,0.14349836,-0.05217671,252.96161,250.94547,337.53165,7.8070335,14.054917,0.8343459
1,16,10,0.01,0.23423406,0.09966344,0.1165772,0.01799342,0.15784758,0.025394026,12.991985,-3.4764001,11.428732,-3.790702,0.31569517,0.050788052,0.34143403,-0.09136105,0.13413955,-0.044491652,252.90793,250.80154,336.80075,7.2671022,14.054917,0.9411759
1,17,10,0.01,0.18336886,0.07766326,0.090381786,0.01532381,0.13934064,0.010521053,11.439555,-0.7529247,10.546894,0.24623011,0.27868128,0.021042107,0.30063564,-0.01978713,0.12378938,0.0028900173,252.91217,250.81747,337.33298,0.50669456,14.049714,0.8627435
1,18,10,0.01,0.1742301,0.068538256,0.08767708,0.018014757,0.13089906,0.00560767,11.267088,-0.40313813,11.435507,-0.7368421,0.2617981,0.01121534,0.29610315,-0.010594616,0.13421907,-0.008648348,252.90578,250.81282,337.41257,1.1399802,14.049714,0.72388595
1,19,10,0.01,0.18868877,0.08401038,0.08787312,0.016805282,0.14492272,0.015700525,11.279678,-0.47416487,11.044959,-0.14699763,0.28984544,0.03140105,0.29643402,-0.0124612255,0.12963519,-0.0017253149,252.85478,250.6011,336.69046,0.62116253,14.049714,0.79311055
1,20,10,0.01,0.19150385,0.08589763,0.08918639,0.01641983,0.14654149,0.014151617,11.363652,-0.835036,10.917559,0.055925157,0.29308298,0.028303234,0.2986409,-0.021945043,0.12813988,0.00065639766,252.85326,250.5842,336.97397,0.77911085,14.049714,0.7827925
1,21,10,0.01,0.15081204,0.061839674,0.06744951,0.021522868,0.12433792,0.005092734,9.882301,1.8847116,12.499463,2.216023,0.24867584,0.010185468,0.25971043,0.0495309,0.14670675,0.026009561,252.82867,250.49669,336.79184,-4.1007347,14.045444,0.5833907
1,22,10,0.01,0.15386975,0.065591365,0.067429245,0.02084914,0.12805405,0.013207796,9.880817,1.8355299,12.30227,3.0593503,0.2561081,0.026415592,0.25967142,0.048238393,0.14439231,0.03590773,252.77942,250.30374,335.94287,-4.8948803,14.045444,0.57411486
1,23,10,0.01,0.16052565,0.07303897,0.067309305,0.020177368,0.13512862,0.013731027,9.872025,1.4789864,12.102454,3.4284403,0.27025723,0.027462054,0.25944036,0.038868293,0.14204706,0.04023976,252.79477,250.3125,336.3757,-4.907427,14.045444,0.54373115
1,24,10,0.01,0.14518698,0.06333795,0.060440376,0.021408653,0.12583517,0.009602376,9.354751,1.7319555,12.46625,2.4304376,0.25167033,0.019204753,0.24584624,0.045516413,0.14631696,0.028526157,252.81659,250.4392,336.72278,-4.162393,14.045444,0.48141918
1,25,10,0.01,0.1363072,0.056578506,0.05636702,0.023361666,0.11893118,0.0145594925,9.034023,2.853985,13.022462,5.102315,0.23786236,0.029118985,0.2374174,0.07500375,0.15284523,0.059886105,252.77406,250.34602,336.1891,-7.9563,14.0420065,0.6675752
1,26,10,0.01,0.14076555,0.059700064,0.05676921,0.024296261,0.12216798,0.011542077,9.066196,2.7933948,13.280393,5.343921,0.24433596,0.023084154,0.2382629,0.07341141,0.15587258,0.06272185,252.71437,250.00325,336.26443,-8.137316,14.0420065,0.65450203
1,27,10,0.01,0.13663949,0.05149931,0.05920404,0.025936145,0.1134673,0.005342286,9.258578,3.0731769,13.721258,4.276875,0.2269346,0.010684572,0.2433188,0.08076421,0.16104703,0.05019787,252.65921,249.76527,336.1059,-7.350052,14.0420065,0.6235073
1,28,10,0.01,0.14714079,0.056183524,0.06456767,0.026389591,0.11851532,0.012919911,9.668881,3.1001868,13.840686,4.6663213,0.23703064,0.025839822,0.2541017,0.08147403,0.16244873,0.05476883,252.5926,249.59174,335.1879,-7.766508,14.0420065,0.64218885
1,29,10,0.01,0.13746299,0.04868616,0.06283783,0.025938995,0.1103247,0.0048540775,9.538483,2.989082,13.722012,5.720767,0.2206494,0.009708155,0.25067475,0.07855416,0.16105588,0.06714491,252.55571,249.39522,335.13455,-8.709849,14.039157,0.69039285
1,30,10,0.01,0.13979317,0.049125753,0.062493704,0.028173713,0.11082165,0.00038719524,9.512328,3.3509946,14.300896,4.5311756,0.2216433,0.0007743905,0.24998741,0.08806535,0.16785027,0.05318262,252.51517,249.2145,335.02197,-7.88217,14.039157,0.68982965
1,31,10,0.01,0.14595546,0.050484642,0.06599979,0.029471025,0.11234394,0.008947884,9.775521,3.5077324,14.626446,5.0604835,0.22468787,0.017895767,0.25690424,0.09218446,0.17167127,0.05939513,252.44681,248.98561,334.08337,-8.568216,14.039157,0.6673368
1,32,10,0.01,0.14245686,0.047855623,0.06525883,0.029342402,0.10937964,0.0047984994,9.720493,3.2331502,14.594494,5.4722424,0.21875928,0.009596999,0.2554581,0.084968336,0.17129624,0.06422794,252.43312,248.88542,334.23096,-8.705393,14.039157,0.67833215
