ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,2.698784,0.88102555,1.6666065,0.1511519,0.4693148,-0.09292636,46.06373,33.48793,32.28189,-17.90742,0.9386296,-0.18585272,1.2909712,0.93852496,0.3887826,-0.21566556,254.12619,263.45593,358.02652,-15.580511,17.000746,10.364951
1,2,10,0.01,2.7018178,0.9511572,1.5994744,0.15118624,0.48763645,-0.10652198,45.126453,32.25379,32.28556,-17.721897,0.9752729,-0.21304396,1.2647033,0.90393716,0.38882676,-0.21343125,254.07217,262.88437,358.02374,-14.531895,17.000746,10.067393
1,3,10,0.01,0.7129931,0.33231437,0.2948805,0.08579821,0.28823358,0.0050647827,19.376062,7.228238,24.321552,-11.331758,0.57646716,0.010129565,0.543029,0.20257686,0.29291332,-0.13647248,254.02754,262.37332,357.94232,4.1035194,16.98558,2.9847002
1,4,10,0.01,0.53933144,0.20132041,0.26481903,0.07319202,0.22434372,0.024694571,18.36188,6.4795637,22.463842,-9.784347,0.44868743,0.049389143,0.5146057,0.18159473,0.27054024,-0.11783643,253.97198,262.02548,356.13483,3.3047829,16.98558,2.2845294
1,5,10,0.01,0.59679866,0.19391568,0.37823257,0.024650397,0.22017929,0.066323005,21.944315,-12.242592,13.036593,-1.1887844,0.44035858,0.13264601,0.61500615,-0.34310803,0.15700445,-0.014316966,254.02142,261.94742,356.85443,13.431376,16.98758,3.4194443
1,6,10,0.01,0.5190464,0.14002383,0.35013777,0.028884798,0.18709879,0.047924284,21.113585,-11.437156,14.111944,-1.9536207,0.37419757,0.09584857,0.5917244,-0.32053503,0.16995528,-0.023528162,254.09952,262.114,357.49268,13.390777,16.98758,3.2046256
1,7,10,0.01,0.5142333,0.20977476,0.28395653,0.02050201,0.22900587,0.053835396,19.01378,-11.379479,11.889138,2.768525,0.45801175,0.10767079,0.5328757,-0.31891865,0.14318523,0.03334236,254.11798,262.1786,356.09888,8.610954,16.99036,3.2055993
1,8,10,0.01,0.57376504,0.25695324,0.29569498,0.021116868,0.25345278,0.055524707,19.402803,-11.51126,12.0661,3.3025513,0.50690556,0.11104941,0.5437784,-0.3226118,0.14531644,0.039773826,254.21822,262.3425,356.94724,8.208709,16.99036,3.2291732
1,9,10,0.01,0.28595978,0.13545434,0.12635094,0.024154479,0.18402061,0.010334138,12.683285,-5.5457826,12.904793,3.622115,0.36804122,0.020668276,0.35545877,-0.15542479,0.15541711,0.04362245,254.27585,262.45233,357.46332,1.9236677,16.99254,1.570317
1,10,10,0.01,0.31048515,0.16898432,0.11708651,0.024414338,0.20553851,0.02159293,12.209445,-5.5492573,12.974024,4.41633,0.41107702,0.04318586,0.34217906,-0.15552217,0.15625088,0.053187467,254.2244,262.14313,356.00366,1.1329274,16.99254,1.7840889
1,11,10,0.01,0.25328034,0.13581476,0.09841535,0.019050226,0.18426527,-0.0069478066,11.193707,1.1104394,11.460465,4.13039,0.36853054,-0.013895613,0.3137122,0.031120902,0.13802256,0.04974379,254.20238,261.7462,356.14694,-5.2408295,16.994284,1.1555842
1,12,10,0.01,0.22004491,0.08922406,0.10932063,0.02150021,0.14935198,-0.020246224,11.797598,2.338615,12.175128,3.7575738,0.29870397,-0.04049245,0.3306367,0.065541476,0.1466295,0.045253832,254.1617,261.2863,355.87576,-6.0961885,16.994284,1.1967704
1,13,10,0.01,0.20403242,0.053978536,0.13569881,0.014355084,0.116166405,-0.023280162,13.144092,4.6625204,9.9484415,2.3500557,0.23233281,-0.046560325,0.3683732,0.13067068,0.119812705,0.02830257,254.03793,260.68378,353.79544,-7.012576,16.995949,1.6327312
