ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,0.90671813,0.297,0.51699114,0.09272703,0.27248853,-0.025010273,27.359629,13.066344,25.944445,-8.665412,0.54497707,-0.050020546,0.71902096,0.34338823,0.30451113,-0.10170634,253.44098,253.19496,339.12674,-4.4009323,14.082288,2.8198047
1,2,10,0.01,0.92370355,0.30017433,0.53193367,0.09159553,0.27394083,-0.028481863,27.7522,12.868132,25.785666,-8.296956,0.54788166,-0.056963727,0.7293378,0.33817914,0.30264753,-0.09738172,253.37492,252.8641,339.22464,-4.5711756,14.082288,2.843441
1,3,10,0.01,1.0653359,0.3256048,0.64281476,0.09691636,0.28530896,-0.03524448,30.50785,14.55906,26.524046,-8.766349,0.5706179,-0.07048896,0.8017573,0.38261738,0.31131393,-0.10289106,253.31229,252.57848,339.22614,-5.7927113,14.082288,3.3121421
1,4,10,0.01,0.90553963,0.27631095,0.5353529,0.09387576,0.26282644,-0.02610714,27.841251,13.143916,26.104652,-8.236989,0.5256529,-0.05221428,0.7316781,0.34542686,0.3063915,-0.0966779,253.23888,252.28624,338.54605,-4.906927,14.082288,2.837554
1,5,10,0.01,0.43634108,0.14900786,0.23251255,0.054820687,0.19300768,0.0021215978,18.348133,-0.100246854,19.948647,-5.3027477,0.38601536,0.0042431955,0.48219556,-0.0026345204,0.23413818,-0.062238596,253.23166,252.15302,338.61072,5.4029946,14.071037,1.1934301
1,6,10,0.01,0.4799057,0.16062304,0.26085618,0.05842646,0.20038903,-0.003660909,19.434317,1.2554165,20.59425,-5.9944525,0.40077806,-0.007321818,0.5107408,0.03299281,0.24171565,-0.07035716,253.2447,252.20015,338.76895,4.739036,14.071037,1.4082947
1,7,10,0.01,0.42187667,0.14472859,0.22150981,0.055638243,0.19021605,0.00849507,17.908747,0.41574898,20.096848,-5.469512,0.3804321,0.01699014,0.4706483,0.010926016,0.2358776,-0.06419591,253.19907,252.07347,338.19302,5.053763,14.071037,1.1692681
1,8,10,0.01,0.43540263,0.1474251,0.23314373,0.054833803,0.19197989,0.006323118,18.37302,-0.2989351,19.951035,-5.1405416,0.38395977,0.012646236,0.4828496,-0.007856114,0.23416619,-0.060334776,253.17316,251.89806,338.47687,5.4394765,14.071037,1.223567
1,9,10,0.01,0.3204789,0.09296751,0.19624776,0.031263612,0.15245287,0.011031351,16.85664,-6.7702,15.06471,-3.3497956,0.30490574,0.022062702,0.4429986,-0.17792328,0.1768152,-0.039316714,253.15988,251.80525,338.61688,10.119995,14.069528,1.3807911
1,10,10,0.01,0.3171233,0.10088681,0.18706717,0.029169327,0.15881342,0.020647781,16.457638,-7.0696645,14.551389,-3.1637845,0.31762683,0.041295562,0.4325126,-0.18579334,0.1707903,-0.037133474,253.09833,251.58862,337.8262,10.233449,14.069528,1.4006394
1,11,10,0.01,0.31164557,0.10038658,0.18250261,0.02875638,0.1584192,0.015796639,16.255608,-7.4108825,14.44802,-2.8184729,0.3168384,0.031593278,0.42720324,-0.19476064,0.16957706,-0.033080544,253.08928,251.51953,338.30264,10.229355,14.069528,1.4160092
1,12,10,0.01,0.31436586,0.09776795,0.18412754,0.032470375,0.15633933,0.011882091,16.327814,-6.926101,15.352703,-3.3116634,0.31267866,0.023764182,0.42910084,-0.18202044,0.18019538,-0.038869146,253.05873,251.42033,338.20303,10.237764,14.069528,1.3739804
