ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,2.734252,1.5431311,1.165913,0.025207996,0.62111413,-0.122119054,41.086746,16.26125,13.527277,0.8303423,1.2422283,-0.24423811,1.0797745,0.4273515,0.15877026,0.009745754,252.38171,250.41885,336.0445,-17.09159,10.998833,5.72892
1,2,10,0.01,2.6969814,1.5328974,1.1394328,0.024651224,0.61905116,-0.12723608,40.617485,15.092553,13.377053,0.5694753,1.2381023,-0.25447217,1.0674422,0.39663774,0.15700708,0.006683964,252.4257,250.53682,336.72128,-15.662028,10.998833,5.688067
1,3,10,0.01,2.8949864,1.5936202,1.2751728,0.026193433,0.63119334,-0.13691683,42.968796,16.895607,13.789146,0.7206313,1.2623867,-0.27383366,1.1292355,0.44402266,0.16184385,0.008458065,252.42111,250.4441,336.9982,-17.616238,10.998833,5.846909
1,4,10,0.01,2.7471836,1.5675696,1.1523962,0.027217641,0.6260131,-0.12258259,40.84789,15.842993,14.056153,0.9376911,1.2520262,-0.24516518,1.0734972,0.4163595,0.1649777,0.011005734,252.38048,250.36833,336.27866,-16.780684,10.998833,5.7025466
1,5,10,0.01,1.829705,1.0638875,0.7422399,0.023577712,0.5157246,-0.0853839,32.782406,9.769902,13.082539,-0.11511385,1.0314492,-0.1707678,0.86153346,0.25675657,0.15355036,-0.001351094,252.39743,250.3604,336.80554,-9.654788,10.978197,4.502645
1,6,10,0.01,1.9965942,1.118332,0.8552091,0.023053033,0.5287561,-0.09618896,35.188828,11.111222,12.936157,-0.07203073,1.0575122,-0.19237792,0.9247752,0.29200694,0.15183225,-0.0008454227,252.39925,250.27686,337.04785,-11.039191,10.978197,4.702621
1,7,10,0.01,1.8737954,1.0781955,0.77078396,0.02481594,0.51918095,-0.083151,33.406815,10.315409,13.421671,0.07576498,1.0383619,-0.166302,0.87794304,0.27109265,0.15753075,0.00088925555,252.3821,250.30699,336.2166,-10.391173,10.978197,4.538463
1,8,10,0.01,1.8111753,1.0576102,0.7298661,0.023699105,0.51420087,-0.086099,32.508,9.342234,13.116174,-0.12491739,1.0284017,-0.172198,0.854322,0.24551731,0.15394513,-0.0014661634,252.40317,250.38165,336.82275,-9.217317,10.978197,4.510066
1,9,10,0.01,1.2369745,0.6781754,0.539061,0.019738087,0.41175702,-0.04968112,27.937506,5.9219275,11.96999,-0.7633911,0.82351404,-0.09936224,0.73420775,0.15563041,0.1404923,-0.008959954,252.42783,250.44316,337.29257,-5.1585364,10.9612055,3.3745143
1,10,10,0.01,1.1793303,0.66674656,0.49212977,0.020454017,0.40827274,-0.033714432,26.69368,5.1304736,12.18514,-0.78130424,0.8165455,-0.067428865,0.7015196,0.13483068,0.14301755,-0.0091702,252.4165,250.44183,336.5788,-4.3491693,10.9612055,3.2210472
1,11,10,0.01,1.1452821,0.6530973,0.47253495,0.019649891,0.40407217,-0.034686908,26.156864,4.1572437,11.943214,-0.77202505,0.80814433,-0.069373816,0.6874118,0.109253876,0.14017807,-0.009061288,252.4573,250.55524,337.32285,-3.3852186,10.9612055,3.1728177
1,12,10,0.01,1.2725757,0.70801526,0.54457074,0.0199897,0.42071822,-0.04937126,28.07992,5.684099,12.046041,-0.7498898,0.84143645,-0.09874252,0.7379504,0.14938013,0.14138493,-0.008801492,252.48001,250.6883,337.74515,-4.9342093,10.9612055,3.420205
1,13,10,0.01,0.7160743,0.3847094,0.31364194,0.017722938,0.31012473,0.016416889,21.310112,0.8430176,11.342507,-0.7675649,0.62024945,0.032833777,0.56003743,0.022154823,0.13312753,-0.00900895,252.44322,250.5902,336.94427,-0.075452685,10.950304,1.9649227
1,14,10,0.01,0.6995833,0.37412074,0.3074718,0.01799069,0.30582705,0.0133108655,21.09946,-0.029089725,11.427866,-0.6805625,0.6116541,0.026621731,0.5545014,-0.0007644904,0.13412938,-0.007987781,252.5035,250.74165,337.67764,0.70965225,10.950304,1.9177049
1,15,10,0.01,0.73925835,0.3755839,0.34532902,0.018345404,0.3064245,0.0034363775,22.360691,1.2256789,11.539975,-0.7147508,0.612849,0.006872755,0.587647,0.03221129,0.1354452,-0.008389051,252.59706,251.16734,338.38657,-0.5109281,10.950304,2.0828602
1,16,10,0.01,0.6918421,0.36784625,0.30545723,0.018538564,0.30325165,0.016381295,21.030224,0.6635745,11.600567,-0.59846264,0.6065033,0.03276259,0.55268186,0.017438965,0.1361564,-0.007024188,252.60255,251.34268,337.84756,-0.065111876,10.950304,1.9555857
1,17,10,0.01,0.4315197,0.21023525,0.20521039,0.016074061,0.22925709,0.042347614,17.237265,-3.946574,10.801995,-0.7440373,0.45851418,0.08469523,0.45300153,-0.10371738,0.12678352,-0.008732793,252.6482,251.37575,338.29108,4.6906114,10.9433975,1.1440587
1,18,10,0.01,0.45608705,0.22346336,0.21616134,0.016462347,0.23635955,0.03356194,17.691216,-2.860633,10.931683,-0.74055856,0.4727191,0.06712388,0.46493155,-0.07517846,0.12830567,-0.008691969,252.69577,251.52722,338.6126,3.6011915,10.9433975,1.2610798
1,19,10,0.01,0.44176972,0.22051404,0.20428455,0.0169711,0.23479462,0.04550537,17.198338,-3.2269046,11.099317,-0.5500252,0.46958923,0.09101074,0.45197847,-0.0848042,0.13027318,-0.0064556682,252.7151,251.72267,338.1119,3.7769299,10.9433975,1.1534883
1,20,10,0.01,0.43936896,0.21835063,0.20531163,0.015706705,0.23364002,0.043738704,17.241516,-4.1166573,10.677848,-0.6007615,0.46728003,0.08747741,0.45311326,-0.10818724,0.1253264,-0.0070511634,252.76279,251.88084,338.61572,4.7174187,10.9433975,1.1382078
1,21,10,0.01,0.32552573,0.13927501,0.17149347,0.014757247,0.18659784,0.04631765,15.757685,-6.186463,10.350084,-0.5700672,0.37319568,0.0926353,0.4141177,-0.16258247,0.12147941,-0.006690903,252.80295,251.99988,339.04285,6.7565303,10.938269,0.85395056
1,22,10,0.01,0.33046916,0.1489891,0.16644748,0.015032581,0.19299553,0.058098864,15.524132,-6.380656,10.446192,-0.35663673,0.38599107,0.11619773,0.40797976,-0.16768594,0.122607425,-0.0041858633,252.78065,251.98288,338.3724,6.7372923,10.938269,0.8537595
1,23,10,0.01,0.32963738,0.1418489,0.17378365,0.014004832,0.18831417,0.054290775,15.8625555,-7.3310566,10.082778,-0.39264688,0.37662834,0.10858155,0.41687366,-0.19266282,0.11834201,-0.0046085133,252.84155,252.19034,339.0988,7.7237034,10.938269,0.8940052
1,24,10,0.01,0.3367442,0.14511722,0.17708707,0.014539887,0.19047128,0.0444489,16.01261,-6.6905413,10.273579,-0.5846533,0.38094255,0.0888978,0.42081714,-0.17582981,0.120581456,-0.0068620997,252.93312,252.55946,339.7163,7.2751946,10.938269,0.90622103
1,25,10,0.01,0.29140797,0.102364235,0.17477132,0.014272424,0.15997206,0.060114034,15.907568,-8.651898,10.178647,-0.059291646,0.3199441,0.12022807,0.4180566,-0.22737499,0.11946725,-0.0006959125,252.9858,252.85966,339.20044,8.71119,10.9337,0.9084728
1,26,10,0.01,0.29514927,0.10239177,0.1787251,0.01403239,0.15999357,0.058785044,16.086494,-9.196019,10.092693,0.05599074,0.31998715,0.11757009,0.4227589,-0.24167468,0.11845839,0.0006571671,253.0835,253.18138,340.0457,9.140028,10.9337,0.9241372
1,27,10,0.01,0.30068603,0.10870419,0.17786875,0.014113095,0.16485159,0.05243754,16.04791,-8.776296,10.121674,-0.09652032,0.32970318,0.10487508,0.42174488,-0.23064423,0.11879855,-0.0011328664,253.12904,253.3399,340.18442,8.872816,10.9337,0.9086321
1,28,10,0.01,0.30328268,0.103934094,0.18524322,0.01410537,0.16119406,0.058967426,16.377209,-8.952619,10.118903,0.1193766,0.3223881,0.11793485,0.4303989,-0.23527801,0.11876603,0.0014011209,253.07437,253.19241,339.29373,8.833242,10.9337,0.9418583
1,29,10,0.01,0.28467014,0.089257196,0.1826053,0.012807629,0.14937972,0.05372842,16.26018,-9.743451,9.642188,0.28225645,0.29875943,0.10745684,0.4273234,-0.2560614,0.113170795,0.0033128588,253.06377,253.00795,339.82956,9.461195,10.929565,1.0267226
1,30,10,0.01,0.2872431,0.096080616,0.17744683,0.013715663,0.15498437,0.043354195,16.028866,-9.268191,9.97814,-0.012292958,0.30996874,0.08670839,0.42124438,-0.24357139,0.11711389,-0.00014427816,253.08127,252.98984,340.04852,9.280484,10.929565,0.96380156
1,31,10,0.01,0.28751624,0.09408757,0.17891312,0.014515535,0.15336849,0.056913946,16.094955,-9.564785,10.26497,0.5402451,0.30673698,0.11382789,0.42298123,-0.25136602,0.12048043,0.006340878,253.10818,253.19951,339.6902,9.02454,10.929565,0.99250716
1,32,10,0.01,0.2993169,0.093992636,0.19123958,0.014084705,0.15329109,0.053081416,16.640162,-10.070604,10.111489,0.60059494,0.30658218,0.10616283,0.43730947,-0.26465914,0.118679,0.0070492066,253.21422,253.59058,340.39062,9.47001,10.929565,1.0372531
