ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,8.490057,2.0127945,6.3481817,0.12908103,0.70936495,0.06400477,95.872345,18.156202,30.61064,10.010368,1.4187299,0.12800954,2.5195599,0.47715166,0.35927847,0.117492154,252.38171,250.41885,336.0445,-28.16657,16.849241,39.119137
1,2,10,0.01,8.555539,2.0442393,6.377628,0.13367139,0.71488446,0.07055287,96.094444,18.273127,31.150173,10.553122,1.4297689,0.14110574,2.5253966,0.48022434,0.365611,0.12386247,252.4257,250.53682,336.72128,-28.826248,16.849241,39.260983
1,3,10,0.01,9.041985,2.0669856,6.83923,0.13576886,0.71885073,0.05932426,99.51127,20.897034,31.39361,10.050895,1.4377015,0.11864852,2.6151922,0.54918164,0.36846825,0.1179678,252.42111,250.4441,336.9982,-30.94793,16.849241,42.589756
1,4,10,0.01,8.426998,2.0081928,6.2830706,0.13573442,0.7085536,0.060895313,95.37941,18.275095,31.389627,9.320101,1.4171072,0.121790625,2.5066054,0.48027602,0.36842152,0.10939042,252.38048,250.36833,336.27866,-27.595196,16.849241,39.53091
1,5,10,0.01,3.39138,0.8764767,2.416117,0.09878631,0.46810168,0.03820311,59.14631,22.405653,26.778706,1.865112,0.93620336,0.07640622,1.5543864,0.5888288,0.3143029,0.021890918,252.39743,250.3604,336.80554,-24.270765,16.803318,15.085293
1,6,10,0.01,3.5369537,0.8273097,2.6078908,0.10175298,0.45478284,0.031829312,61.44879,23.793299,27.177832,0.8704911,0.9095657,0.063658625,1.6148965,0.62529665,0.31898743,0.010216992,252.39925,250.27686,337.04785,-24.66379,16.803318,16.586208
1,7,10,0.01,3.350053,0.82160413,2.4253042,0.10314485,0.4532119,0.035057485,59.25865,23.047842,27.363083,1.0031118,0.9064238,0.07011497,1.5573388,0.60570556,0.32116172,0.011773567,252.3821,250.30699,336.2166,-24.050953,16.803318,14.84402
1,8,10,0.01,3.2772717,0.8116991,2.3654726,0.100099996,0.45047173,0.038671326,58.52314,23.277973,26.956175,1.9037013,0.90094346,0.07734265,1.5380093,0.6117536,0.31638584,0.022343839,252.40317,250.38165,336.82275,-25.181675,16.803318,14.869646
1,9,10,0.01,1.8384861,0.5965267,1.175277,0.06668246,0.3861757,-0.025546221,41.251408,16.772345,22.00123,-3.7603328,0.7723514,-0.051092442,1.0841019,0.44078326,0.25822946,-0.04413519,252.42783,250.44316,337.29257,-13.012012,16.767437,13.307281
1,10,10,0.01,1.9295447,0.57274956,1.2882296,0.068565644,0.3784011,-0.013261667,43.18822,16.98601,22.30974,-3.9155316,0.7568022,-0.026523335,1.135002,0.44639853,0.26185042,-0.045956757,252.4165,250.44183,336.5788,-13.070478,16.767437,13.995925
1,11,10,0.01,2.0193524,0.5761467,1.3735964,0.06960929,0.37952164,-0.017815137,44.59624,17.69337,22.478888,-3.644422,0.7590433,-0.035630275,1.1720053,0.46498817,0.26383573,-0.04277474,252.4573,250.55524,337.32285,-14.048948,16.767437,14.7394085
1,12,10,0.01,1.9847662,0.56673306,1.3456826,0.072350465,0.37640837,-0.02550759,44.140785,16.979107,22.917215,-4.196057,0.75281674,-0.05101518,1.1600356,0.44621715,0.2689804,-0.049249306,252.48001,250.6883,337.74515,-12.783051,16.767437,14.674089
1,13,10,0.01,1.1677214,0.47827384,0.6357709,0.053676587,0.34578672,-0.042285986,30.340237,1.4135329,19.739388,-4.6497474,0.69157344,-0.08457197,0.79735243,0.03714815,0.23168208,-0.05457429,252.44322,250.5902,336.94427,3.2362146,16.73266,10.418067
1,14,10,0.01,1.14464,0.4812089,0.61184084,0.051590193,0.3468461,-0.047072824,29.763763,2.4286973,19.351954,-4.28869,0.6936922,-0.09414565,0.78220254,0.063827015,0.22713475,-0.050336543,252.5035,250.74165,337.67764,1.8599927,16.73266,10.386583
1,15,10,0.01,1.1246142,0.47854352,0.59138316,0.05468751,0.3458842,-0.053062294,29.261942,1.2278838,19.924402,-5.022033,0.6917684,-0.10612459,0.7690144,0.032269247,0.23385361,-0.05894384,252.59706,251.16734,338.38657,3.7941494,16.73266,9.990912
1,16,10,0.01,1.1575305,0.47463617,0.62935084,0.05354353,0.34446922,-0.04240924,30.186659,1.8047343,19.714907,-4.8723507,0.68893844,-0.08481848,0.79331636,0.047429066,0.23139475,-0.057187002,252.60255,251.34268,337.84756,3.0676165,16.73266,9.895137
1,17,10,0.01,0.7425108,0.36943832,0.31326577,0.05980673,0.3039072,-0.029023683,21.297329,-11.268245,20.83609,-1.8334829,0.6078144,-0.058047365,0.5597015,-0.29613355,0.24455415,-0.021519676,252.6482,251.37575,338.29108,13.1017275,16.700994,5.4409356
1,18,10,0.01,0.9058546,0.40099642,0.44003123,0.06482698,0.3166214,-0.03554497,25.241224,-13.036959,21.692974,-2.3594074,0.6332428,-0.07108994,0.6633485,-0.34261593,0.25461143,-0.027692467,252.69577,251.52722,338.6126,15.396366,16.700994,7.1720767
1,19,10,0.01,0.8396187,0.3765416,0.40200567,0.061071392,0.30681494,-0.025012512,24.125967,-11.984322,21.055237,-1.7021737,0.6136299,-0.050025024,0.63403916,-0.3149523,0.24712627,-0.01997849,252.7151,251.72267,338.1119,13.686495,16.700994,5.925329
1,20,10,0.01,0.7632127,0.3744479,0.33143473,0.05732999,0.30596074,-0.031699374,21.90623,-10.736796,20.400093,-1.11431,0.6119215,-0.06339875,0.5757037,-0.28216687,0.23943682,-0.013078694,252.76279,251.88084,338.61572,11.851107,16.700994,5.299623
1,21,10,0.01,0.83058333,0.28262213,0.48350805,0.06445315,0.2658111,-0.011535628,26.458822,-16.471022,21.630337,0.85442543,0.5316222,-0.023071256,0.6953474,-0.4328644,0.25387624,0.010028425,252.80295,251.99988,339.04285,15.616596,16.671503,8.297028
1,22,10,0.01,0.8050846,0.28256541,0.46055242,0.061966803,0.2657844,0.0020984286,25.82309,-15.374322,21.209026,0.99691755,0.5315688,0.004196857,0.6786401,-0.40404272,0.24893132,0.011700869,252.78065,251.98288,338.3724,14.377404,16.671503,7.6727605
1,23,10,0.01,0.7318179,0.2924373,0.38040674,0.058973823,0.27038735,0.0022453878,23.468903,-14.288706,20.690495,1.506065,0.5407747,0.0044907755,0.6167712,-0.3755124,0.24284527,0.01767675,252.84155,252.19034,339.0988,12.78264,16.671503,7.2145753
1,24,10,0.01,0.82387275,0.2870665,0.4735381,0.0632681,0.26789293,-0.008591174,26.18461,-16.297289,21.430565,0.7290938,0.53578585,-0.017182348,0.68814105,-0.42829865,0.2515315,0.008557404,252.93312,252.55946,339.7163,15.568195,16.671503,8.010334
1,25,10,0.01,0.77518666,0.2604082,0.4605418,0.054236647,0.25515103,0.026688762,25.82279,-10.481168,19.8421,2.2434309,0.51030207,0.053377524,0.6786323,-0.2754489,0.23288763,0.026331253,252.9858,252.85966,339.20044,8.237737,16.640957,7.5534067
1,26,10,0.01,0.7257028,0.27987504,0.3909781,0.054849677,0.2645161,0.026121607,23.792763,-9.499266,19.95392,2.9628866,0.5290322,0.052243214,0.6252824,-0.2496441,0.23420008,0.034775533,253.0835,253.18138,340.0457,6.536379,16.640957,7.3531117
1,27,10,0.01,0.80206585,0.2785994,0.46801674,0.055449735,0.2639126,0.021492803,26.03151,-11.294029,20.062773,2.6476047,0.5278252,0.042985607,0.6841175,-0.29681116,0.23547767,0.031075051,253.12904,253.3399,340.18442,8.646424,16.640957,7.8238363
1,28,10,0.01,0.78742653,0.27654862,0.45518312,0.055694778,0.26293945,0.025969548,25.67212,-10.940232,20.107052,2.8080063,0.5258789,0.051939096,0.6746726,-0.28751326,0.23599741,0.032957688,253.07437,253.19241,339.29373,8.132226,16.640957,7.699927
1,29,10,0.01,0.55185777,0.25172165,0.26077735,0.039358813,0.25085935,0.035367556,19.431377,-0.85474205,16.90294,1.8584604,0.5017187,0.07073511,0.5106636,-0.022462932,0.19839056,0.02181284,253.06377,253.00795,339.82956,-1.0037184,16.609451,4.6479416
1,30,10,0.01,0.5964812,0.24489081,0.30884615,0.04274431,0.24743222,0.021770723,21.146563,-2.3587759,17.614908,0.751743,0.49486443,0.043541446,0.5557393,-0.061989482,0.20674697,0.008823241,253.08127,252.98984,340.04852,1.6070328,16.609451,4.6390758
1,31,10,0.01,0.60553294,0.24892674,0.31717288,0.039433304,0.2494628,0.03441396,21.42973,-2.154894,16.918924,0.6699035,0.4989256,0.06882792,0.56318104,-0.056631386,0.19857821,0.007862684,253.10818,253.19951,339.6902,1.4849906,16.609451,4.514208
1,32,10,0.01,0.55696225,0.26073125,0.25607574,0.040155295,0.25530925,0.034439165,19.255413,-1.0901394,17.07311,0.8642543,0.5106185,0.06887833,0.50603926,-0.028649257,0.20038787,0.0101437885,253.21422,253.59058,340.39062,0.2258851,16.609451,4.448526
1,33,10,0.01,0.44106394,0.2251754,0.18893296,0.026955595,0.23726325,0.032282375,16.539507,7.7233043,13.988324,-1.1446779,0.4745265,0.06456475,0.4346642,0.20297122,0.16418159,-0.013435138,253.28018,253.8503,340.61868,-6.5786266,16.578156,2.6210167
1,34,10,0.01,0.45764044,0.23420274,0.19750044,0.025937269,0.24197249,0.04157014,16.910355,7.925941,13.721555,-0.5939895,0.48394498,0.08314028,0.4444102,0.20829657,0.16105051,-0.0069716834,253.24228,253.68044,339.78867,-7.3319516,16.578156,2.698442
1,35,10,0.01,0.43503597,0.22968087,0.17823792,0.027117187,0.23962516,0.0400334,16.064556,8.154897,14.03019,-0.13366283,0.4792503,0.0800668,0.42218232,0.21431363,0.16467297,-0.0015688075,253.24089,253.53477,340.20447,-8.021234,16.578156,2.6481085
1,36,10,0.01,0.45740342,0.23316681,0.1946948,0.029541794,0.24143675,0.030508652,16.789814,7.189981,14.643998,-0.78908557,0.4828735,0.061017305,0.44124234,0.18895532,0.17187726,-0.009261529,253.24982,253.53922,340.48334,-6.4008956,16.578156,2.3076613
1,37,10,0.01,0.42842624,0.18797173,0.22101666,0.01943785,0.21677853,0.01975081,17.8888,11.706215,11.878602,-2.918819,0.43355706,0.03950162,0.4701241,0.30764353,0.13941969,-0.034258313,253.24376,253.57617,339.83432,-8.7873955,16.548658,5.21238
