ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,1.0107787,0.23838887,0.52305317,0.24933666,0.24412541,-0.02338214,25.80569,10.397777,41.46153,-31.728062,0.48825082,-0.04676428,0.72322416,0.29140562,0.4993362,-0.3821126,253.25781,259.4688,352.92984,21.330284,17.248442,4.4020953
1,2,10,0.01,0.98266363,0.23510136,0.50714314,0.24041913,0.24243626,-0.021569686,25.410183,9.384046,40.713337,-30.71991,0.48487252,-0.043139372,0.71213984,0.26299497,0.49032554,-0.369971,253.27588,259.24216,353.79593,21.335865,17.248442,4.2575274
1,3,10,0.01,0.41929772,0.14762515,0.17335398,0.09831861,0.19211009,0.01708168,14.856257,-6.8006334,26.035748,-18.66643,0.38422018,0.03416336,0.416358,-0.19059293,0.31355798,-0.2248066,253.26732,258.9996,354.1946,25.467064,17.247652,1.6015004
1,4,10,0.01,0.38215792,0.11392762,0.17472996,0.09350033,0.16876583,0.027230203,14.915102,-6.9105177,25.389769,-18.384186,0.33753166,0.054460406,0.41800714,-0.19367251,0.30577824,-0.22140746,253.20183,258.72342,352.68134,25.294704,17.247652,1.5364599
1,5,10,0.01,0.29785156,0.14005226,0.12762637,0.03017293,0.18711779,0.06697058,12.747141,-4.5140367,14.423177,-4.3596973,0.37423557,0.13394116,0.35724834,-0.1265093,0.17370357,-0.052505422,253.24535,258.64575,353.45493,8.8737335,17.249983,1.4151117
1,6,10,0.01,0.26403624,0.11258503,0.12105262,0.03039858,0.16776846,0.055484585,12.414513,-3.7389083,14.477009,-4.0433135,0.33553693,0.11096917,0.34792617,-0.10478576,0.17435189,-0.048695102,253.30183,258.62033,353.8246,7.782222,17.249983,1.1313438
1,7,10,0.01,0.2674867,0.16213854,0.07293181,0.032416355,0.20133215,0.06160044,9.636094,1.3050696,14.94976,4.890208,0.4026643,0.12320088,0.2700589,0.036575574,0.18004543,0.058894534,253.30193,258.55725,352.1194,-6.195277,17.253302,1.3377426
1,8,10,0.01,0.26499742,0.15992627,0.06980712,0.035264045,0.19995391,0.062195893,9.42741,1.5026346,15.59259,5.3458652,0.39990783,0.12439179,0.26421037,0.042112485,0.18778723,0.064382195,253.34814,258.44327,352.4452,-6.8485,17.253302,1.2874804
1,9,10,0.01,0.17223138,0.06927332,0.068990506,0.033967547,0.13159913,0.009489868,9.372107,2.8736165,15.303271,7.825179,0.26319826,0.018979736,0.26266044,0.08053531,0.18430287,0.09424148,253.41393,258.5298,352.98303,-10.698795,17.257915,0.9307725
1,10,10,0.01,0.16646707,0.07681594,0.054838642,0.034812488,0.13857844,0.021253398,8.355759,2.519893,15.492435,8.398426,0.2771569,0.042506795,0.23417652,0.07062192,0.18658105,0.10114529,253.43475,258.60062,351.77707,-10.918319,17.257915,0.95230585
1,11,10,0.01,0.13719667,0.060425457,0.049431,0.02734022,0.12290795,-0.019240841,7.933088,-0.08801123,13.729452,7.670541,0.2458159,-0.038481683,0.22233084,-0.0024665834,0.16534878,0.092379116,253.50107,258.7121,352.4065,-7.5825295,17.26349,0.52706087
1,12,10,0.01,0.15714246,0.07738712,0.053072315,0.026683038,0.1390927,-0.028841471,8.220089,0.047179192,13.563439,7.6089306,0.2781854,-0.057682943,0.23037429,0.0013222328,0.16334943,0.09163712,253.5608,258.83606,352.842,-7.65611,17.26349,0.65880316
1,13,10,0.01,0.14209302,0.07566072,0.045235343,0.021196958,0.13753247,-0.042927787,7.588946,-1.522362,12.088962,5.0657644,0.27506495,-0.08585557,0.21268602,-0.042665355,0.14559175,0.061008833,253.57597,258.8906,351.69003,-3.5434024,17.267664,0.7087043
1,14,10,0.01,0.14690854,0.08096504,0.04468924,0.021254258,0.14227179,-0.04196788,7.5429993,-0.9792932,12.1052885,5.1554227,0.28454357,-0.08393576,0.2113983,-0.027445441,0.1457884,0.062088627,253.65341,258.94897,352.33472,-4.1761293,17.267664,0.6921251
1,15,10,0.01,0.16263382,0.103413634,0.039188724,0.020031463,0.16078995,-0.059957642,7.0635514,-0.32967696,11.751912,1.8010821,0.3215799,-0.119915284,0.19796142,-0.00923945,0.14153256,0.021691082,253.73927,259.1618,352.83133,-1.4714051,17.26922,0.7904869
1,16,10,0.01,0.128394,0.069041446,0.04003646,0.019316096,0.1313787,-0.05078797,7.1395416,-0.37359032,11.540161,2.3160362,0.2627574,-0.10157594,0.20009112,-0.010470155,0.13898236,0.027892869,253.76413,259.28122,351.619,-1.9424459,17.26922,0.6203247
1,17,10,0.01,0.12393878,0.067676604,0.036811884,0.019450285,0.13007364,-0.044749588,6.845995,2.0212803,11.580176,-0.20038027,0.26014727,-0.089499176,0.19186424,0.056647923,0.13946427,-0.0024132535,253.82379,259.37573,352.24866,-1.8209,17.26876,0.49632195
1,18,10,0.01,0.13223472,0.078989066,0.034171402,0.019074252,0.14052497,-0.04888137,6.595898,2.0381525,11.467689,-0.10134703,0.28104994,-0.09776274,0.18485509,0.05712078,0.13810956,-0.0012205562,253.8167,259.17468,352.29636,-1.9368055,17.26876,0.57931817
1,19,10,0.01,0.10873329,0.045172133,0.04578694,0.017774215,0.10626868,-0.02585584,7.635076,3.7831829,11.069995,-1.584428,0.21253736,-0.05171168,0.21397883,0.106026605,0.13331997,-0.019081848,253.75496,258.94043,350.82663,-2.1987548,17.267273,0.57174194
1,20,10,0.01,0.12897894,0.051098134,0.0603178,0.017563006,0.11302448,-0.025937214,8.763252,4.2210083,11.004025,-1.4359626,0.22604896,-0.05187443,0.24559683,0.11829701,0.13252549,-0.017293818,253.77884,258.891,351.0944,-2.7850456,17.267273,0.6372858
1,21,10,0.01,0.11462003,0.05026195,0.049122203,0.015235875,0.112095885,-0.019799855,7.9082704,3.0678298,10.2491045,-1.8249284,0.22419177,-0.03959971,0.2216353,0.085978284,0.12343369,-0.02197827,253.83733,258.9425,351.81345,-1.2429014,17.265385,0.49484056
1,22,10,0.01,0.09900154,0.04103994,0.042913627,0.015047971,0.10129158,-0.00889902,7.3916287,3.1201856,10.185707,-1.3031039,0.20258316,-0.01779804,0.20715605,0.08744558,0.12267017,-0.015693748,253.848,258.99707,350.66586,-1.8170817,17.265385,0.55539674
1,23,10,0.01,0.10279119,0.054331914,0.035825096,0.01263418,0.116546035,0.0077343658,6.753613,1.4233336,9.333096,-0.30903426,0.23309207,0.0154687315,0.18927519,0.039890014,0.112401865,-0.0037218062,253.93611,259.20004,351.29675,-1.1142994,17.26353,0.4068728
1,24,10,0.01,0.103984706,0.04731016,0.04381057,0.012863982,0.10875449,-0.0015249526,7.468476,0.7106466,9.417592,-0.332579,0.21750899,-0.0030499052,0.20930974,0.01991641,0.113419496,-0.0040053665,254.02245,259.51538,351.9712,-0.37806764,17.26353,0.3290975
1,25,10,0.01,0.10111449,0.0484765,0.04184104,0.010796949,0.110086896,0.017163834,7.2986717,-1.1982841,8.627853,0.87170935,0.22017379,0.034327667,0.20455083,-0.033582833,0.10390837,0.010498314,254.02667,259.64972,350.60464,0.3265748,17.261726,0.38059244
1,26,10,0.01,0.10841979,0.06144164,0.036445636,0.010532512,0.12393712,0.01891627,6.8118534,-1.0282986,8.521542,1.010886,0.24787425,0.03783254,0.1909074,-0.028818851,0.10262803,0.012174469,254.11919,259.87888,351.54565,0.017412663,17.261726,0.35411987
1,27,10,0.01,0.10213712,0.05103313,0.0398522,0.011251794,0.11295257,0.015067228,7.123095,-2.9994137,8.807711,1.746107,0.22590514,0.030134456,0.19963016,-0.08406086,0.106074475,0.021029001,254.20573,260.16815,352.38474,1.2533067,17.259798,0.56276596
1,28,10,0.01,0.101632155,0.052576102,0.03719221,0.011863843,0.114647396,0.023937916,6.881269,-2.739381,9.04409,2.0030363,0.22929479,0.047875833,0.19285282,-0.076773256,0.10892127,0.0241233,254.18411,260.10632,351.14926,0.7363448,17.259798,0.47328833
1,29,10,0.01,0.105307095,0.06041329,0.033109937,0.01178387,0.122895576,0.02707084,6.4926457,-2.0457878,9.013556,2.0780084,0.24579115,0.05414168,0.18196136,-0.057334766,0.108553536,0.025026215,254.21165,259.9265,351.42224,-0.032220602,17.257639,0.407528
1,30,10,0.01,0.10598462,0.056798637,0.036246404,0.012939577,0.11916232,0.01890149,6.7932096,-2.4609723,9.445223,2.2489362,0.23832464,0.03780298,0.19038488,-0.068970636,0.11375226,0.027084747,254.22049,259.75888,351.5439,0.21203613,17.257639,0.47090086
1,31,10,0.01,0.08833383,0.045632966,0.030670775,0.012030085,0.10680937,0.027363656,6.2489195,-0.9600281,9.107234,1.6005712,0.21361874,0.054727312,0.17513074,-0.02690552,0.10968174,0.019276263,254.13934,259.4168,349.7195,-0.64054304,17.25522,0.2857165
1,32,10,0.01,0.093711756,0.051190645,0.030804787,0.01171633,0.11312675,0.024438998,6.2625566,-0.8731424,8.987687,1.278637,0.2262535,0.048877995,0.17551292,-0.024470486,0.108242,0.015399095,254.12909,259.19818,349.85275,-0.40549463,17.25522,0.2924733
1,33,10,0.01,0.091483414,0.04980113,0.03052696,0.011155322,0.111580834,0.013140682,6.2342515,0.48504844,8.769872,0.056219507,0.22316167,0.026281364,0.17471966,0.013593858,0.10561876,0.00067707564,254.13329,259.1358,350.19812,-0.54126793,17.252645,0.3106889
1,34,10,0.01,0.08519672,0.043907065,0.030417392,0.010872263,0.104770064,0.021549959,6.223054,0.5090476,8.657893,0.071078524,0.20954013,0.043099917,0.17440583,0.014266449,0.104270145,0.00085602026,254.08157,259.02078,348.88605,-0.58012617,17.252645,0.3111403
1,35,10,0.01,0.07531457,0.039431855,0.026574135,0.009308573,0.09928728,0.016103216,5.816639,1.1667198,8.011129,-1.0215813,0.19857456,0.03220643,0.16301575,0.032698207,0.09648094,-0.012303279,254.12701,259.07916,349.3214,-0.1451385,17.249979,0.3138114
1,36,10,0.01,0.07855272,0.038876817,0.029143052,0.010532857,0.09858602,0.008463346,6.0913014,0.8377079,8.521682,-0.81531507,0.19717205,0.016926693,0.17071337,0.023477405,0.102629706,-0.009819133,254.17792,259.2206,349.76944,-0.02239281,17.249979,0.2940725
1,37,10,0.01,0.0734933,0.03644232,0.026301524,0.010749456,0.09544936,0.013474715,5.786727,0.14075093,8.608855,-1.0051329,0.19089872,0.02694943,0.16217744,0.0039446545,0.10367958,-0.012105178,254.21324,259.4242,349.0847,0.86438197,17.247461,0.28052458
1,38,10,0.01,0.076857135,0.040938854,0.025348382,0.010569901,0.10116676,0.012797789,5.6809072,0.15787186,8.5366535,-0.849873,0.20233352,0.025595577,0.15921175,0.0044244826,0.102810025,-0.010235333,254.32451,259.77185,349.9331,0.69200116,17.247461,0.26278836
1,39,10,0.01,0.07733275,0.041765925,0.024540812,0.011026008,0.102183565,-0.0017718014,5.5896807,-0.86782485,8.718893,-1.3010217,0.20436713,-0.0035436028,0.15665507,-0.02432145,0.1050048,-0.015668679,254.3973,260.0112,350.34344,2.1688466,17.245325,0.24656177
1,40,10,0.01,0.07043379,0.033297643,0.026853252,0.010282895,0.09123821,0.0060201637,5.8471065,-0.9270519,8.419957,-1.0989069,0.18247642,0.012040327,0.16386962,-0.025981326,0.10140461,-0.013234536,254.375,259.97943,349.0637,2.0259588,17.245325,0.2937905
1,41,10,0.01,0.0798715,0.045218248,0.025295628,0.009357626,0.106322914,-0.0012311051,5.674993,-1.262707,8.032209,-0.93500364,0.21264583,-0.0024622101,0.159046,-0.035388336,0.09673482,-0.011260587,254.41138,259.95895,349.4647,2.1977105,17.24323,0.29057267
1,42,10,0.01,0.08785911,0.044996347,0.031920176,0.010942589,0.10606171,-0.011294315,6.374927,-1.3594502,8.685848,-1.0242639,0.21212342,-0.02258863,0.17866218,-0.038099628,0.10460683,-0.012335579,254.43663,259.9694,349.8952,2.3837142,17.24323,0.29289013
1,43,10,0.01,0.07266937,0.031833522,0.030858483,0.009977367,0.08920976,-0.007267523,6.2680116,-1.3389697,8.293925,-0.5931142,0.17841952,-0.014535046,0.17566583,-0.03752565,0.09988677,-0.0071430868,254.39317,259.84378,348.8089,1.9320838,17.240612,0.26886806
1,44,10,0.01,0.07703727,0.03891952,0.028058173,0.010059575,0.09864015,-0.007458683,5.976848,-1.4834228,8.328025,-0.2938267,0.1972803,-0.014917366,0.16750574,-0.041574053,0.10029743,-0.0035386556,254.43774,259.8666,349.48517,1.7772495,17.240612,0.26224428
1,45,10,0.01,0.08559721,0.046716597,0.02784207,0.011038539,0.10807011,-0.018499015,5.9537864,-0.69506884,8.723846,0.061160926,0.21614023,-0.03699803,0.16685943,-0.019479835,0.10506445,0.00073658273,254.50702,260.0675,350.1428,0.6339079,17.237528,0.22533129
1,46,10,0.01,0.06749565,0.027504852,0.029617772,0.010373029,0.082922935,-0.011990736,6.140712,-1.0416642,8.4567795,0.19946143,0.16584587,-0.023981472,0.17209814,-0.029193433,0.101848066,0.0024021901,254.50063,260.14862,349.10425,0.8422028,17.237528,0.20210554
1,47,10,0.01,0.07030631,0.037945673,0.023926243,0.008434395,0.097398244,-0.015996795,5.5192466,0.2454548,7.625691,0.44794053,0.19479649,-0.03199359,0.1546811,0.006879061,0.09183896,0.005394714,254.53369,260.15723,349.38824,-0.6933953,17.2343,0.26509556
