ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,5,0.01,1.2382241,0.21336961,0.98840946,0.03644497,0.23095974,0.0416852,37.83007,14.551245,16.265223,5.8887434,0.4619195,0.0833704,0.99418783,0.38241196,0.19090566,0.069116436,252.37662,250.37729,336.05762,-20.439987,14.304812,5.092899
1,2,5,0.01,1.2425497,0.23940791,0.96656376,0.03657797,0.24464664,0.036246236,37.409676,14.158352,16.294874,5.6003985,0.48929328,0.07249247,0.98313975,0.37208664,0.19125368,0.065732144,252.43944,250.57036,337.05142,-19.75875,14.304812,5.0911756
1,3,5,0.01,1.2332424,0.24485418,0.95157546,0.036812767,0.24741371,0.034907028,37.11849,14.566142,16.34709,5.606279,0.49482742,0.069814056,0.9754873,0.38280347,0.19186653,0.06580115,252.40926,250.43095,336.66968,-20.17242,14.304812,5.0184536
1,4,5,0.01,1.2055261,0.22569212,0.9450903,0.034743626,0.23753533,0.042633597,36.991787,14.415249,15.881035,5.948554,0.47507066,0.08526719,0.97215754,0.37883797,0.18639642,0.06981846,252.38257,250.36253,336.28433,-20.363804,14.304812,5.031958
1,5,5,0.01,0.4138138,0.16193846,0.2295571,0.022318231,0.20120789,0.001279029,18.23115,1.3816108,12.728319,4.048037,0.40241578,0.002558058,0.47912118,0.03630923,0.14939287,0.047511995,252.41202,250.41055,337.0928,-5.429648,14.279633,1.6377182
1,6,5,0.01,0.4170885,0.15720071,0.23692079,0.022967003,0.19824272,0.0024417995,18.521248,1.6537986,12.911995,4.109125,0.39648545,0.004883599,0.4867451,0.043462414,0.15154868,0.04822899,252.38443,250.25433,336.73303,-5.7629237,14.279633,1.6684692
1,7,5,0.01,0.39738694,0.13290893,0.24105217,0.023425855,0.18228339,0.01015956,18.682035,1.3562349,13.040339,4.340883,0.36456677,0.02031912,0.49097064,0.035642333,0.15305507,0.050949145,252.38,250.2811,336.21985,-5.697118,14.279633,1.6663485
1,8,5,0.01,0.40934142,0.14869617,0.23703325,0.023611981,0.19280571,0.0051470124,18.525644,1.1363596,13.092043,4.024727,0.38561141,0.010294025,0.4868606,0.029863935,0.1536619,0.0472384,252.4162,250.40962,337.1128,-5.1610866,14.279633,1.6532825
1,9,5,0.01,0.35828105,0.116200216,0.22668529,0.015395545,0.17044076,-0.021594329,18.116753,-5.6049914,10.571552,1.1622605,0.34088153,-0.043188658,0.47611478,-0.1473012,0.12407879,0.013641502,252.41438,250.43373,336.96765,4.442731,14.26673,1.8639435
1,10,5,0.01,0.3286378,0.088950336,0.22529887,0.014388577,0.14912271,-0.013296642,18.061266,-5.7062545,10.219983,1.3725837,0.29824543,-0.026593285,0.47465658,-0.14996244,0.119952396,0.016110074,252.41469,250.41512,336.58218,4.3336706,14.26673,1.8592196
1,11,5,0.01,0.34306613,0.1146471,0.2139839,0.014435156,0.16929789,-0.020587223,17.601885,-5.8517017,10.236511,0.9889364,0.33859578,-0.041174445,0.46258393,-0.15378486,0.120146394,0.0116071915,252.46927,250.58586,337.6199,4.8627653,14.26673,1.8793023
