ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,1.1361492,0.20340918,0.38346982,0.54927015,0.22550453,0.04239655,23.5632,11.255644,63.144306,20.242275,0.45100906,0.0847931,0.6192494,0.2958024,0.7411276,0.23758452,252.63597,251.41576,336.5771,-31.49792,16.541897,3.9519994
1,2,10,0.01,1.1529703,0.22453564,0.37409827,0.5543365,0.23692596,0.040840264,23.273489,11.082346,63.434853,20.044237,0.47385192,0.08168053,0.61163574,0.29124802,0.7445378,0.23526013,252.66415,251.38692,337.1932,-31.126583,16.541897,3.987837
1,3,10,0.01,0.6200466,0.16256191,0.20576328,0.25172147,0.20159483,0.014871525,17.260468,3.9563122,42.74658,31.960443,0.40318966,0.02974305,0.45361137,0.10397329,0.5017185,0.37512118,252.66586,251.31767,337.6255,-35.916756,16.546598,2.7440608
1,4,10,0.01,0.6190752,0.1495705,0.2114383,0.2580664,0.19337173,0.024554482,17.496874,4.1873217,43.28196,33.101044,0.38674346,0.049108963,0.4598242,0.11004434,0.50800234,0.3885085,252.61353,251.19086,336.97357,-37.288364,16.546598,2.812538
1,5,10,0.01,0.36718416,0.11594642,0.13370326,0.11753447,0.17025453,0.0070575643,13.913605,3.0308914,29.20948,16.874607,0.34050906,0.014115129,0.36565456,0.07965293,0.342833,0.19805802,252.61295,251.14095,337.42966,-19.905499,16.548996,1.4308592
1,6,10,0.01,0.3840746,0.12591729,0.13893278,0.119224526,0.17742413,-0.0012411661,14.183092,3.290361,29.418736,16.434883,0.35484827,-0.0024823323,0.37273687,0.086471885,0.34528905,0.19289695,252.61905,251.16165,337.75433,-19.725245,16.548996,1.3679401
1,7,10,0.01,0.33482516,0.105280906,0.11450728,0.115036964,0.1622351,0.0015930167,12.876126,0.19497758,28.897476,-3.4359016,0.3244702,0.0031860333,0.33838925,0.005124073,0.339171,-0.040327333,252.57245,251.03185,337.06815,3.2409241,16.550583,1.7185547
1,8,10,0.01,0.34394073,0.105988175,0.1141677,0.12378488,0.16277912,-0.001711678,12.85702,0.2323613,29.976091,-3.8950999,0.32555825,-0.003423356,0.3378871,0.0061065406,0.35183075,-0.04571696,252.56487,250.94653,337.4724,3.6627386,16.550583,1.7550427
1,9,10,0.01,0.3307016,0.09209899,0.10899112,0.1296115,0.15173908,-0.017143888,12.562158,-0.8306874,30.673477,-8.70051,0.30347815,-0.034287777,0.33013803,-0.021830766,0.360016,-0.10211828,252.57474,250.93889,337.55917,9.531198,16.553724,1.809784
1,10,10,0.01,0.31847706,0.089723006,0.10660939,0.12214467,0.149769,-0.007892297,12.424143,-1.0201606,29.776829,-7.583759,0.299538,-0.015784593,0.32651094,-0.026810203,0.349492,-0.08901093,252.56616,250.99278,336.73184,8.603919,16.553724,1.6687691
1,11,10,0.01,0.27810603,0.08291258,0.10420329,0.09099016,0.14397272,-0.013528611,12.283139,-2.9802732,25.700314,-3.9018111,0.28794545,-0.027057221,0.32280535,-0.07832265,0.30164576,-0.04579573,252.63545,251.26933,337.43735,6.8820844,16.557217,0.95629996
1,12,10,0.01,0.27395678,0.08087006,0.09663998,0.09644673,0.14218831,-0.019446783,11.828974,-2.5719829,26.459702,-4.4316273,0.28437662,-0.038893566,0.31086972,-0.067592636,0.31055874,-0.052014224,252.71109,251.5889,338.08893,7.00361,16.557217,0.9279209
1,13,10,0.01,0.2395902,0.068287395,0.08448171,0.086821094,0.13065928,-0.013318102,11.05987,-4.5844054,25.10463,-0.77488506,0.26131856,-0.026636204,0.29065737,-0.12047984,0.2946542,-0.0090948595,252.73491,251.7586,337.57486,5.3592906,16.559631,1.1628484
1,14,10,0.01,0.24579632,0.07368257,0.08768493,0.08442881,0.13572267,-0.013646491,11.267594,-4.608416,24.756348,-1.117509,0.27144533,-0.027292982,0.2961164,-0.12111086,0.29056635,-0.013116252,252.76544,251.79585,337.87698,5.725925,16.559631,1.0914253
1,15,10,0.01,0.22590998,0.073934615,0.08032269,0.07165269,0.1359546,-0.021510378,10.784196,-3.7337818,22.806437,0.73262966,0.2719092,-0.043020755,0.28341258,-0.09812514,0.2676802,0.008598904,252.75615,251.64641,337.86246,3.001152,16.561907,1.1399179
1,16,10,0.01,0.21709831,0.06800136,0.07571187,0.073385075,0.13038535,-0.013017243,10.470095,-3.5367284,23.08049,1.512127,0.2607707,-0.026034486,0.2751579,-0.092946485,0.2708968,0.017747913,252.70293,251.46922,336.9656,2.0246015,16.561907,1.2124617
1,17,10,0.01,0.17255147,0.065895766,0.05747366,0.049182046,0.12835085,-0.014346138,9.122273,-1.2006915,18.894897,0.9291006,0.2567017,-0.028692275,0.23973665,-0.031554613,0.22177026,0.010904896,252.71684,251.49797,337.436,0.2715909,16.564562,0.53601134
1,18,10,0.01,0.17506643,0.06657325,0.05606635,0.052426826,0.12900896,-0.024629163,9.009897,-0.91379213,19.508236,1.1969199,0.25801793,-0.049258325,0.23678334,-0.024014786,0.22896905,0.014048297,252.73055,251.51776,337.95377,-0.28312778,16.564562,0.51570517
1,19,10,0.01,0.15525562,0.05856568,0.05160441,0.045085527,0.121001735,-0.014993601,8.643947,1.3087796,18.090883,-0.6220846,0.24200347,-0.029987201,0.22716604,0.0343952,0.21233353,-0.007301433,252.7197,251.57335,337.46536,-0.686695,16.567642,0.6567443
1,20,10,0.01,0.15774606,0.056805257,0.05098579,0.049955014,0.119169265,-0.01636643,8.59198,0.92310274,19.042797,-1.7121009,0.23833853,-0.03273286,0.22580034,0.024259476,0.22350618,-0.020095004,252.74988,251.56311,338.12415,0.7889981,16.567642,0.70067745
1,21,10,0.01,0.16466676,0.061253417,0.04264026,0.06077307,0.12374714,-0.022611685,7.8573947,1.671586,21.003746,-3.3366246,0.24749428,-0.04522337,0.20649518,0.04392989,0.24652195,-0.039162137,252.80252,251.79655,338.5516,1.6650386,16.570982,1.0945535
1,22,10,0.01,0.16043244,0.05894348,0.046395186,0.055093784,0.12139139,-0.012443942,8.19606,1.9359142,19.998272,-2.8486602,0.24278279,-0.024887884,0.21539542,0.050876517,0.23472065,-0.033434864,252.79425,251.81424,337.81787,0.9127461,16.570982,1.0538673
1,23,10,0.01,0.14093126,0.044548262,0.043945502,0.0524375,0.105532296,-0.00984214,7.9767485,2.3196468,19.510223,-2.2665527,0.21106459,-0.01968428,0.20963183,0.06096115,0.22899236,-0.026602631,252.84474,251.94688,338.5845,-0.05309415,16.575008,0.85822725
