ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,1.0322932,0.41445383,0.30994228,0.30789712,0.32189044,0.03225326,21.184055,0.98091465,47.276356,-35.28575,0.6437809,0.06450652,0.5567246,0.0257788,0.5548848,-0.4141505,252.63597,251.41576,336.5771,34.304836,16.882715,3.869157
1,2,10,0.01,1.034439,0.4018933,0.3209715,0.3115742,0.31697527,0.034893814,21.557674,0.35096094,47.557823,-35.01793,0.63395053,0.06978763,0.56654346,0.00922335,0.5581883,-0.41100705,252.66415,251.38692,337.1932,34.66697,16.882715,3.8557823
1,3,10,0.01,0.40915877,0.16164246,0.1247756,0.12274067,0.20102392,0.061575938,13.44106,-5.932484,29.84939,-22.899464,0.40204784,0.123151876,0.3532359,-0.15590784,0.35034364,-0.26877204,252.66586,251.31767,337.6255,28.831947,16.871393,1.4862729
1,4,10,0.01,0.43730485,0.18293712,0.12869363,0.12567413,0.21385574,0.06888299,13.650455,-6.08521,30.20398,-23.391787,0.4277115,0.13776597,0.35873893,-0.1599215,0.35450548,-0.27455047,252.61353,251.19086,336.97357,29.476997,16.871393,1.6365789
1,5,10,0.01,0.28480473,0.14780849,0.06847348,0.06852276,0.19222935,0.04790707,9.957031,-0.9498184,22.302763,-15.523497,0.3844587,0.09581414,0.26167437,-0.024961565,0.26176852,-0.1822,252.61295,251.14095,337.42966,16.473314,16.862602,1.2937298
1,6,10,0.01,0.28134662,0.14290814,0.07066059,0.067777894,0.18901597,0.03893309,10.114799,-0.3921897,22.181211,-14.830837,0.37803194,0.07786618,0.2658206,-0.010306889,0.26034188,-0.17407018,252.61905,251.16165,337.75433,15.223027,16.862602,1.2428986
1,7,10,0.01,0.2042959,0.10428537,0.052611012,0.04739952,0.16146623,0.03190675,8.727844,3.2719283,18.549328,-8.325377,0.32293245,0.0638135,0.2293709,0.08598744,0.21771431,-0.097715355,252.57245,251.03185,337.06815,5.053449,16.855652,0.94860715
1,8,10,0.01,0.20796953,0.10224243,0.055452723,0.050274372,0.15987685,0.028462289,8.960457,3.0690234,19.10357,-9.311676,0.3197537,0.056924578,0.23548402,0.08065505,0.22421947,-0.109291576,252.56487,250.94653,337.4724,6.242653,16.855652,0.9463712
1,9,10,0.01,0.18889254,0.08883315,0.061371956,0.038687445,0.14902446,0.006878045,9.426569,1.8783579,16.758156,-3.4299197,0.2980489,0.01375609,0.24773364,0.04936393,0.19669124,-0.04025713,252.57474,250.93889,337.55917,1.5515618,16.850033,0.8812872
1,10,10,0.01,0.17827608,0.07863882,0.06236408,0.03727318,0.14021307,0.012691313,9.502457,1.8593717,16.448997,-3.25131,0.28042614,0.025382627,0.24972801,0.04886496,0.19306263,-0.03816078,252.56616,250.99278,336.73184,1.3919384,16.850033,0.79610425
1,11,10,0.01,0.18032724,0.06942429,0.07500636,0.035896596,0.13174245,0.00050727976,10.421199,-2.2865207,16.142391,0.6357869,0.2634849,0.0010145595,0.27387288,-0.060090587,0.18946397,0.007462263,252.63545,251.26933,337.43735,1.6507338,16.84536,0.8653274
1,12,10,0.01,0.18431346,0.074179806,0.073921524,0.036212135,0.13617985,-0.0021256362,10.345563,-2.469613,16.213182,1.0647657,0.2723597,-0.0042512724,0.27188513,-0.06490232,0.19029486,0.012497202,252.71109,251.5889,338.08893,1.4048474,16.84536,0.9298001
1,13,10,0.01,0.15415919,0.06422759,0.060181882,0.029749727,0.12671581,0.0037667234,9.334726,-3.0532477,14.695443,3.8034513,0.25343162,0.007533447,0.24531996,-0.08024044,0.17248109,0.044641294,252.73491,251.7586,337.57486,-0.7502036,16.842329,0.83317506
1,14,10,0.01,0.15973428,0.06732535,0.06371472,0.028694207,0.12973565,0.0025881217,9.604806,-3.0542974,14.432393,3.54132,0.2594713,0.0051762434,0.25241774,-0.080268055,0.16939364,0.04156465,252.76544,251.79585,337.87698,-0.48702264,16.842329,0.81198883
1,15,10,0.01,0.13576226,0.06780592,0.04836801,0.019588316,0.13019785,0.0009122429,8.368504,-0.29939353,11.924489,4.2278438,0.2603957,0.0018244858,0.21992728,-0.00786817,0.13995826,0.049622387,252.75615,251.64641,337.86246,-3.92845,16.84055,0.50352025
1,16,10,0.01,0.12500316,0.05680992,0.048990883,0.019202346,0.11917416,0.0041780896,8.4222145,-0.44957033,11.806424,3.993102,0.23834832,0.008356179,0.22133884,-0.01181487,0.13857253,0.046867225,252.70293,251.46922,336.9656,-3.5435317,16.84055,0.5161979
1,17,10,0.01,0.116440505,0.04823044,0.051570594,0.016639467,0.10980715,0.006568676,8.641114,2.4099987,10.990335,3.6982372,0.2196143,0.013137352,0.2270916,0.06333563,0.12899406,0.043406386,252.71684,251.49797,337.436,-6.108236,16.839428,0.5010792
1,18,10,0.01,0.11415151,0.04967761,0.04698273,0.017491162,0.11144237,1.3135298e-5,8.247794,2.1713228,11.268096,4.1188345,0.22288474,2.6270596e-5,0.216755,0.05706315,0.13225415,0.04834295,252.73055,251.51776,337.95377,-6.2901573,16.839428,0.481226
1,19,10,0.01,0.1055045,0.039200637,0.046123747,0.020180115,0.09899575,0.008198736,8.172049,2.8366675,12.103278,4.008149,0.1979915,0.016397472,0.2147644,0.074548654,0.14205673,0.04704383,252.7197,251.57335,337.46536,-6.8448167,16.837488,0.5125719
1,20,10,0.01,0.10485458,0.042972695,0.041926768,0.019955112,0.10364928,0.008631116,7.791379,2.813702,12.035616,3.9752672,0.20729856,0.017262232,0.20476027,0.073945105,0.14126256,0.04665789,252.74988,251.56311,338.12415,-6.788969,16.837488,0.51499194
1,21,10,0.01,0.09817148,0.044457614,0.031917587,0.021796277,0.10542487,0.0030001842,6.7980394,1.9050897,12.578602,3.6310043,0.21084975,0.0060003684,0.17865494,0.050066438,0.14763562,0.04261727,252.80252,251.79655,338.5516,-5.536094,16.834307,0.4192601
1,22,10,0.01,0.10059595,0.044409044,0.03509955,0.021087354,0.105367266,0.009318424,7.12885,2.1975043,12.372352,3.7178662,0.21073453,0.018636849,0.18734874,0.057751212,0.14521486,0.043636765,252.79425,251.81424,337.81787,-5.9153705,16.834307,0.44148603
1,23,10,0.01,0.090770856,0.04531818,0.026021989,0.019430691,0.106440336,0.0065167705,6.1381702,0.611171,11.876414,3.4281893,0.21288067,0.013033541,0.16131333,0.016061792,0.13939402,0.040236812,252.84474,251.94688,338.5845,-4.03936,16.83025,0.39724177
1,24,10,0.01,0.09506228,0.04676252,0.028541023,0.019758739,0.10812321,0.0014354248,6.4284077,0.5812871,11.976249,3.3739212,0.21624643,0.0028708496,0.16894089,0.015276435,0.14056578,0.039599854,252.8608,252.03477,338.91705,-3.9552083,16.83025,0.38822633
