ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,0.79970336,0.33931664,0.41080502,0.049581736,0.29125446,-0.056502838,24.388582,17.872618,18.97152,4.9667196,0.5825089,-0.113005675,0.6409407,0.46969885,0.22266957,0.05829464,253.44098,253.19496,339.12674,-22.839336,16.85364,3.7661347
1,2,10,0.01,0.81409585,0.3388902,0.42479378,0.0504119,0.2910714,-0.060445428,24.800348,18.536245,19.129683,5.2887,0.5821428,-0.120890856,0.65176207,0.48713925,0.22452594,0.062073704,253.37492,252.8641,339.22464,-23.824945,16.85364,3.7898262
1,3,10,0.01,0.27692267,0.12633479,0.11912762,0.03146026,0.17771803,0.018615272,13.133332,0.39724115,15.112015,11.365111,0.35543606,0.037230544,0.34514868,0.010439637,0.1773704,0.13339284,253.31229,252.57848,339.22614,-11.762353,16.838743,1.4828054
1,4,10,0.01,0.26434326,0.119062595,0.11310767,0.032172993,0.17252724,0.026467675,12.797193,0.043661945,15.282238,11.682587,0.34505448,0.05293535,0.33631483,0.0011474581,0.17936832,0.13711904,253.23888,252.28624,338.54605,-11.726249,16.838743,1.5533147
1,5,10,0.01,0.2292656,0.08834066,0.112418756,0.028506193,0.14861079,0.033018354,12.758161,-6.2410126,14.385032,11.239351,0.29722157,0.06603671,0.33528906,-0.16401607,0.16883777,0.13191679,253.23166,252.15302,338.61072,-4.9983387,16.82628,1.4589448
1,6,10,0.01,0.23506273,0.09328124,0.11599393,0.025787557,0.15270989,0.025441209,12.959443,-6.0653367,13.681897,10.536381,0.30541977,0.050882418,0.34057882,-0.15939924,0.16058505,0.12366597,253.2447,252.20015,338.76895,-4.471044,16.82628,1.4133701
1,7,10,0.01,0.1807235,0.07720249,0.08376013,0.019760888,0.13892668,0.02619084,11.012535,-3.9000695,11.976901,7.58386,0.27785337,0.05238168,0.28941342,-0.102495216,0.14057343,0.08901211,253.19907,252.07347,338.19302,-3.6837904,16.810438,1.0026027
1,8,10,0.01,0.1797001,0.07456676,0.08533897,0.019794377,0.13653457,0.023858389,11.115843,-4.1574764,11.987044,7.493222,0.27306914,0.047716778,0.29212835,-0.10925996,0.14069249,0.087948285,253.17316,251.89806,338.47687,-3.3357458,16.810438,0.9598726
1,9,10,0.01,0.16019787,0.0617308,0.086242385,0.012224686,0.12422842,0.008374044,11.174524,-0.8104032,9.420199,2.970165,0.24845684,0.016748087,0.29367054,-0.021297695,0.110565305,0.03486096,253.15988,251.80525,338.61688,-2.159762,16.796473,1.0917329
1,10,10,0.01,0.1500698,0.04947134,0.08734157,0.01325689,0.11121077,0.017746978,11.24551,-0.72408897,9.809843,3.2898052,0.22242154,0.035493955,0.29553607,-0.019029314,0.11513857,0.038612586,253.09833,251.58862,337.8262,-2.5657163,16.796473,1.1053177
1,11,10,0.01,0.10743953,0.031186994,0.067080535,0.009172007,0.0882992,0.007483127,9.855233,1.5771856,8.159686,0.14943285,0.1765984,0.014966254,0.2589991,0.041449003,0.0957706,0.0017538995,253.08928,251.51953,338.30264,-1.7266185,16.786572,1.0326337
1,12,10,0.01,0.11679075,0.040719632,0.06650273,0.009568388,0.10089553,0.005114961,9.812697,1.2519562,8.334137,-0.30441314,0.20179106,0.010229922,0.25788122,0.03290186,0.097818136,-0.003572911,253.05873,251.42033,338.20303,-0.9475431,16.786572,1.0097884
1,13,10,0.01,0.09178548,0.037341025,0.04373611,0.010708344,0.09661913,0.010260373,7.957721,1.9114759,8.816626,-2.4796321,0.19323826,0.020520747,0.2091318,0.050234273,0.10348113,-0.029103553,252.99611,251.23141,337.1402,0.56815624,16.779825,0.56236196
1,14,10,0.01,0.08934,0.036352843,0.042923845,0.010063316,0.09533211,0.006733313,7.8834805,2.0558333,8.546962,-2.4358647,0.19066422,0.013466626,0.20718071,0.054028038,0.10031608,-0.028589858,252.9795,251.07451,337.40656,0.38003135,16.779825,0.57039696
1,15,10,0.01,0.11773951,0.057481077,0.047335494,0.012922939,0.11987606,0.0018706166,8.2787,1.0332689,9.685494,-4.6841574,0.23975211,0.0037412331,0.21756722,0.027154684,0.1136791,-0.05497817,252.96161,250.94547,337.53165,3.6508884,16.774775,0.6122735
1,16,10,0.01,0.0998085,0.036628783,0.0512245,0.011955218,0.09569324,0.008004898,8.612069,1.3625908,9.315797,-4.1252813,0.19138648,0.016009796,0.2263283,0.035809383,0.10933992,-0.048418615,252.90793,250.80154,336.80075,2.7626905,16.774775,0.5574056
1,17,10,0.01,0.10580285,0.03452851,0.05834471,0.012929636,0.09290924,0.0032013438,9.19114,0.47675824,9.688005,-5.1042886,0.18581848,0.0064026876,0.2415465,0.012529378,0.113708556,-0.059909265,252.91217,250.81747,337.33298,4.62753,16.769875,0.8694316
1,18,10,0.01,0.11633997,0.04082031,0.061094344,0.014425311,0.10102019,0.0013519074,9.405224,0.29341638,10.233019,-5.4851027,0.20204037,0.0027038148,0.2471727,0.0077110794,0.120105416,-0.064378895,252.90578,250.81282,337.41257,5.191686,16.769875,0.90660197
1,19,10,0.01,0.095152095,0.02874129,0.0523325,0.014078304,0.08476628,0.0049940515,8.704712,0.8672885,10.10919,-5.321906,0.16953257,0.009988103,0.22876298,0.022792652,0.11865203,-0.06246345,252.85478,250.6011,336.69046,4.4546175,16.764906,0.78001297
1,20,10,0.01,0.093400925,0.030741988,0.049223885,0.013435047,0.087666966,0.0026203908,8.44222,0.78528184,9.875539,-5.3148365,0.17533393,0.0052407817,0.22186457,0.020637494,0.11590965,-0.06238048,252.85326,250.5842,336.97397,4.529555,16.764906,0.748611
1,21,10,0.01,0.0797711,0.029423714,0.037111934,0.013235447,0.08576671,-0.0033090077,7.3303623,1.5086124,9.801907,-5.273953,0.17153342,-0.0066180155,0.19264458,0.03964687,0.11504541,-0.06190063,252.82867,250.49669,336.79184,3.7653406,16.760168,0.47670823
1,22,10,0.01,0.07987221,0.025216084,0.041953012,0.012703116,0.079397865,0.0020193825,7.7938175,1.8345053,9.602765,-4.7315125,0.15879573,0.004038765,0.20482434,0.048211455,0.1127081,-0.055533968,252.77942,250.30374,335.94287,2.8970072,16.760168,0.48815
1,23,10,0.01,0.06306483,0.02668446,0.026729321,0.00965105,0.08167689,-0.0019770262,6.221035,1.6664876,8.370059,-3.4504535,0.16335379,-0.0039540525,0.16349104,0.043795902,0.09823976,-0.040498137,252.79477,250.3125,336.3757,1.783966,16.755758,0.33560693
1,24,10,0.01,0.06276776,0.02683667,0.025808733,0.010122359,0.08190951,-0.005875288,6.112966,1.590723,8.571998,-3.8034256,0.16381902,-0.011750576,0.16065097,0.041804776,0.100609936,-0.044640973,252.81659,250.4392,336.72278,2.2127025,16.755758,0.3212971
1,25,10,0.01,0.055634335,0.020763323,0.02648285,0.008388162,0.07204742,-0.0024102617,6.1922874,1.0973477,7.8032346,-1.9391837,0.14409484,-0.0048205233,0.16273552,0.02883869,0.09158691,-0.022760287,252.77406,250.34602,336.1891,0.841836,16.751736,0.34452558
1,26,10,0.01,0.047717698,0.019375358,0.02036987,0.007972472,0.0695977,-0.0034347225,5.430787,1.0800483,7.6074257,-2.0469663,0.1391954,-0.006869445,0.14272305,0.028384058,0.089288704,-0.024025336,252.71437,250.00325,336.26443,0.966918,16.751736,0.35764107
1,27,10,0.01,0.04942938,0.020158187,0.02118959,0.008081599,0.070989765,-0.011123208,5.5389824,-0.19833349,7.6593137,-1.3353577,0.14197953,-0.022246417,0.14556645,-0.0052122725,0.089897715,-0.01567315,252.65921,249.76527,336.1059,1.5336912,16.747927,0.29452983
1,28,10,0.01,0.055061154,0.02116442,0.025014676,0.0088820625,0.07273998,-0.006068858,6.0181937,-0.04932392,8.029678,-1.067501,0.14547996,-0.012137716,0.15816028,-0.001296248,0.094244696,-0.012529309,252.5926,249.59174,335.1879,1.1168249,16.747927,0.29184547
1,29,10,0.01,0.05442749,0.020230794,0.025071686,0.009125009,0.0711175,-0.00657821,6.0250463,-1.750485,8.138753,-0.031365056,0.142235,-0.01315642,0.15834041,-0.04600337,0.095524915,-0.00036813575,252.55571,249.39522,335.13455,1.78185,16.74407,0.35949543
1,30,10,0.01,0.056450017,0.019222124,0.02748652,0.009741372,0.06932194,-0.009903051,6.3085356,-1.7260597,8.409135,-0.59015125,0.13864388,-0.019806102,0.16579059,-0.045361467,0.09869839,-0.006926631,252.51517,249.2145,335.02197,2.316211,16.74407,0.3664028
1,31,10,0.01,0.06489164,0.023855226,0.030194597,0.010841813,0.077225685,-6.520643e-5,6.612007,-2.364558,8.871399,0.38176605,0.15445137,-0.00013041285,0.17376593,-0.062141437,0.104124025,0.004480806,252.44681,248.98561,334.08337,1.9827919,16.73995,0.40943232
1,32,10,0.01,0.06332565,0.025752187,0.027178047,0.010395415,0.08023744,-0.003346895,6.2730365,-2.539578,8.686847,0.3121458,0.16047488,-0.00669379,0.16485766,-0.06674102,0.10195791,0.0036636686,252.43312,248.88542,334.23096,2.2274323,16.73995,0.42403814
1,33,10,0.01,0.06403558,0.026126565,0.028264288,0.009644725,0.08081857,-0.002400931,6.3971677,-2.926602,8.367316,-0.015472335,0.16163714,-0.004801862,0.16811986,-0.07691215,0.09820756,-0.00018159668,252.43715,248.92078,334.32275,2.9420743,16.735165,0.42499992
1,34,10,0.01,0.079340465,0.035782002,0.032335315,0.011223143,0.09458066,0.002529656,6.8423805,-2.539516,9.026066,0.27251127,0.18916132,0.005059312,0.17982022,-0.066739395,0.105939336,0.003198478,252.40959,248.83916,333.67984,2.2670047,16.735165,0.44437385
1,35,10,0.01,0.06749409,0.031682283,0.026541192,0.009270612,0.08899759,0.0076019666,6.1991034,-2.0010388,8.203429,0.3218292,0.17799518,0.015203933,0.16291468,-0.052588016,0.09628402,0.0037773242,252.42278,248.78314,334.07385,1.6792096,16.72955,0.2944226
1,36,10,0.01,0.07000545,0.030269034,0.030426927,0.009309489,0.08698999,0.006364565,6.637397,-2.314963,8.220612,0.15983605,0.17397998,0.01272913,0.17443316,-0.060838062,0.0964857,0.001876005,252.42163,248.75694,334.24182,2.155127,16.72955,0.30795676
1,37,10,0.01,0.0692588,0.030433908,0.029908681,0.008916217,0.087226585,0.013482649,6.580627,-0.96212816,8.045102,0.4044745,0.17445317,0.026965298,0.17294127,-0.025285073,0.09442572,0.004747336,252.4014,248.75331,333.7345,0.55765367,16.72327,0.39670646
1,38,10,0.01,0.06564836,0.031856064,0.026119923,0.00767238,0.08924133,0.01141528,6.14971,-1.1498756,7.4628763,0.69146115,0.17848267,0.02283056,0.1616166,-0.030219141,0.087592125,0.00811571,252.41493,248.80164,334.2262,0.4584145,16.72327,0.43633676
1,39,10,0.01,0.056227848,0.02639791,0.022177877,0.0076520573,0.08123717,0.0033415882,5.6666794,0.22209594,7.4529862,-0.13978171,0.16247433,0.0066831764,0.14892238,0.005836765,0.08747604,-0.0016406239,252.39674,248.77075,334.2843,-0.08231422,16.716595,0.3034223
1,40,10,0.01,0.061287597,0.029331407,0.024329813,0.007626379,0.08563207,0.008586131,5.9352365,0.32077843,7.4404697,0.010999622,0.17126414,0.017172262,0.15598017,0.0084301755,0.08732914,0.00012910547,252.32854,248.53989,333.5535,-0.33177805,16.716595,0.31459326
1,41,10,0.01,0.05283177,0.024499893,0.021134978,0.0071968953,0.07826221,0.00046510287,5.5318394,1.0280954,7.2279267,-0.3408608,0.15652442,0.00093020574,0.14537874,0.027018718,0.084834516,-0.004000698,252.30563,248.36996,333.79553,-0.6872345,16.709465,0.2571823
1,42,10,0.01,0.053578876,0.025684942,0.019602466,0.00829147,0.08013261,-0.0011786695,5.3275065,0.97594345,7.7581286,-0.8665471,0.16026522,-0.002357339,0.1400088,0.025648147,0.09105751,-0.010170706,252.26878,248.25935,333.52872,-0.10939634,16.709465,0.27250928
1,43,10,0.01,0.056180596,0.026114322,0.022328427,0.007737846,0.08079963,-0.0028450168,5.685881,1.6703355,7.494648,-0.88359684,0.16159926,-0.0056900335,0.149427,0.04389702,0.08796503,-0.010370817,252.21123,248.04427,332.65112,-0.7867387,16.701868,0.34697053
1,44,10,0.01,0.05767197,0.02535161,0.025033567,0.007286795,0.079610944,-0.0045169606,6.020465,1.7155015,7.272931,-0.6705118,0.15922189,-0.009033921,0.15822,0.045084,0.085362725,-0.007869826,252.20941,247.95479,332.846,-1.0449898,16.701868,0.36096355
1,45,10,0.01,0.057580628,0.023427602,0.02618737,0.007965654,0.07653039,-0.0087869875,6.1576443,1.5185112,7.6041727,-1.1859757,0.15306078,-0.017573975,0.16182512,0.039907027,0.08925051,-0.013919847,252.2306,248.04506,333.1014,-0.3325355,16.693913,0.36894265
1,46,10,0.01,0.054845188,0.02446017,0.022791054,0.007593963,0.07819874,-0.00588913,5.7444816,1.5791793,7.4246407,-0.9273187,0.15639748,-0.01177826,0.15096706,0.041501395,0.08714335,-0.010883984,252.2174,248.0596,332.6729,-0.6518606,16.693913,0.35187563
1,47,10,0.01,0.046473823,0.01965167,0.020164547,0.0066576097,0.07009221,-0.0053996625,5.403348,0.80215067,6.9518495,-1.0205951,0.14018442,-0.010799325,0.14200193,0.021080809,0.08159418,-0.011978773,252.22293,248.09285,333.06503,0.2184444,16.685806,0.19350757
1,48,10,0.01,0.04515043,0.01985859,0.018580187,0.0067116525,0.07046025,-0.007904091,5.186731,0.5735665,6.980008,-1.2968955,0.1409205,-0.015808182,0.13630916,0.015073534,0.08192468,-0.015221719,252.21042,248.08592,333.05594,0.723329,16.685806,0.2517781
