ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,0.4391686,0.08930183,0.2904154,0.059451375,0.14941706,0.006920401,20.505886,8.708558,20.774096,-3.5641437,0.29883412,0.013840802,0.53890204,0.22886407,0.24382652,-0.04183253,252.63597,251.41576,336.5771,-5.1444144,10.830645,1.1012627
1,2,10,0.01,0.4506279,0.09989496,0.290581,0.060151942,0.15803082,0.0055985856,20.51173,8.389885,20.896137,-3.4732242,0.31606165,0.011197171,0.53905565,0.22048919,0.24525893,-0.0407654,252.66415,251.38692,337.1932,-4.916661,10.830645,1.1544694
1,3,10,0.01,0.36155838,0.11808354,0.2066655,0.03680934,0.17181642,-0.013490402,17.29827,10.611293,16.346329,-4.634342,0.34363285,-0.026980804,0.45460477,0.2788686,0.1918576,-0.0543935,252.66586,251.31767,337.6255,-5.9769506,10.835691,1.511204
1,4,10,0.01,0.31492752,0.092926644,0.18585461,0.036146246,0.15241936,-0.005526533,16.404211,9.928537,16.198427,-4.5268703,0.30483872,-0.011053066,0.4311086,0.2609255,0.19012167,-0.053132076,252.61353,251.19086,336.97357,-5.401667,10.835691,1.5407467
1,5,10,0.01,0.17247292,0.0519047,0.09130855,0.029259682,0.113913015,0.011073122,11.498055,5.154212,14.573908,-3.1986122,0.22782603,0.022146244,0.30217305,0.13545457,0.17105462,-0.03754228,252.61295,251.14095,337.42966,-1.9555998,10.84903,0.57418853
1,6,10,0.01,0.20509738,0.066004984,0.10945952,0.029632863,0.12845717,0.0030494314,12.589122,6.1221256,14.666553,-3.273912,0.25691435,0.0060988627,0.33084667,0.16089168,0.17214198,-0.03842604,252.61905,251.16165,337.75433,-2.8482137,10.84903,0.6704829
1,7,10,0.01,0.12288418,0.06497307,0.035756797,0.022154307,0.12744908,0.025131028,7.1952844,-0.54282075,12.68149,-1.7119784,0.25489816,0.050262056,0.18909468,-0.0142655345,0.14884323,-0.020093566,252.57245,251.03185,337.06815,2.2547991,10.872803,0.42686105
1,8,10,0.01,0.12994082,0.06843926,0.039539486,0.02196207,0.1308045,0.023223614,7.566311,-0.77116257,12.62635,-1.7367754,0.261609,0.04644723,0.19884539,-0.020266442,0.14819606,-0.020384613,252.56487,250.94653,337.4724,2.507938,10.872803,0.44549936
1,9,10,0.01,0.13989247,0.075141646,0.050722092,0.014028742,0.13705988,0.015116256,8.569732,-4.462019,10.09138,-0.74194276,0.27411976,0.030232511,0.22521566,-0.117263466,0.11844299,-0.008708222,252.57474,250.93889,337.55917,5.203962,10.897125,0.59763485
1,10,10,0.01,0.14463614,0.077776015,0.052889235,0.013970903,0.13944176,0.023112873,8.750892,-4.7320848,10.070556,-0.75664806,0.27888352,0.046225745,0.2299766,-0.124360904,0.11819857,-0.008880807,252.56616,250.99278,336.73184,5.488733,10.897125,0.6587852
1,11,10,0.01,0.14355518,0.07167768,0.06402964,0.007847855,0.13386343,0.015103226,9.628512,-6.278766,7.547736,-0.544559,0.26772687,0.030206451,0.2530408,-0.1650082,0.08858812,-0.0063915146,252.63545,251.26933,337.43735,6.823325,10.912216,0.7068291
1,12,10,0.01,0.13585566,0.06754697,0.060093336,0.008215352,0.129949,0.009540724,9.327856,-6.0571733,7.7224355,-0.44548166,0.259898,0.019081447,0.24513942,-0.1591847,0.09063858,-0.0052286424,252.71109,251.5889,338.08893,6.502655,10.912216,0.65370226
