ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,10,0.01,0.99353486,0.43461105,0.5022883,0.056635547,0.3296252,0.07116085,26.967781,8.871132,20.276163,-8.648409,0.6592504,0.1423217,0.708723,0.23313655,0.23798224,-0.101506785,252.63597,251.41576,336.5771,-0.222723,9.207767,4.8717904
1,2,10,0.01,0.985504,0.4293147,0.49944514,0.05674416,0.32761055,0.06751261,26.891348,8.534562,20.295593,-8.681886,0.6552211,0.13502522,0.70671433,0.22429143,0.23821032,-0.1018997,252.66415,251.38692,337.1932,0.14732361,9.207767,4.768221
1,3,10,0.01,0.4867592,0.2053889,0.24114387,0.0402264,0.22659926,0.015325686,18.685589,8.466914,17.088219,-8.730194,0.45319852,0.030651372,0.491064,0.22251357,0.2005652,-0.10246668,252.66586,251.31767,337.6255,0.2632799,9.172338,1.580406
1,4,10,0.01,0.4204007,0.16623232,0.21462446,0.039543916,0.20385799,0.025014574,17.628212,8.329389,16.942638,-8.610241,0.40771598,0.050029147,0.4632758,0.21889932,0.19885652,-0.10105879,252.61353,251.19086,336.97357,0.28085232,9.172338,1.4221909
1,5,10,0.01,0.30692744,0.19867672,0.08163144,0.026619293,0.22286583,0.0002556076,10.871698,7.3455048,13.90079,-6.6014924,0.44573167,0.0005112152,0.28571215,0.1930425,0.1631542,-0.077482,252.61295,251.14095,337.42966,-0.74401236,9.157209,2.2656436
1,6,10,0.01,0.34841853,0.236112,0.08521179,0.027094759,0.24295679,-0.009074377,11.107556,7.7362404,14.024387,-6.6527185,0.48591357,-0.018148754,0.2919106,0.20331119,0.16460486,-0.07808328,252.61905,251.16165,337.75433,-1.0835218,9.157209,2.3912504
1,7,10,0.01,0.18535277,0.10566548,0.06241583,0.01727146,0.16253114,0.004324706,9.506399,4.1312556,11.197105,-3.5237765,0.32506227,0.008649412,0.2498316,0.10857087,0.13142093,-0.04135874,252.57245,251.03185,337.06815,-0.6074791,9.157693,1.48039
1,8,10,0.01,0.1948371,0.113839574,0.064110234,0.016887281,0.1687006,0.0016792181,9.634571,3.9065776,11.071873,-3.6583197,0.3374012,0.0033584363,0.2532,0.10266627,0.12995107,-0.042937867,252.56487,250.94653,337.4724,-0.24825788,9.157693,1.4226756
1,9,10,0.01,0.17232765,0.082975924,0.078644656,0.010707061,0.14402771,0.0042372434,10.670954,-0.6675791,8.816096,-0.307227,0.28805542,0.008474487,0.28043655,-0.01754421,0.10347493,-0.0036059348,252.57474,250.93889,337.55917,0.9748061,9.166435,1.002301
1,10,10,0.01,0.15165506,0.06107679,0.079847135,0.010731139,0.123568594,0.012923344,10.752226,-0.282125,8.826004,-0.52309847,0.24713719,0.025846688,0.28257236,-0.0074143675,0.10359121,-0.0061396337,252.56616,250.99278,336.73184,0.80522346,9.166435,0.93262404
1,11,10,0.01,0.15123118,0.066223286,0.076765515,0.008242378,0.12866943,0.015706433,10.542698,-4.0782404,7.7351274,1.8462377,0.25733885,0.031412866,0.2770659,-0.1071776,0.090787545,0.021669379,252.63545,251.26933,337.43735,2.2320027,9.171598,1.1097907
1,12,10,0.01,0.15912615,0.07533816,0.07470602,0.009081969,0.137239,0.0124173835,10.400313,-4.446045,8.119537,2.2913468,0.274478,0.024834767,0.273324,-0.116843656,0.09529936,0.026893642,252.71109,251.5889,338.08893,2.1546981,9.171598,1.1251768
1,13,10,0.01,0.11833072,0.045969024,0.06391062,0.008451074,0.10720194,0.018838424,9.61956,-4.93892,7.832442,3.235826,0.21440388,0.03767685,0.2528055,-0.12979661,0.09192973,0.03797904,252.73491,251.7586,337.57486,1.703094,9.170451,0.9518981
1,14,10,0.01,0.12635687,0.05397519,0.06420393,0.00817774,0.11616281,0.018794984,9.641608,-5.0198717,7.704738,3.0793865,0.23232561,0.037589967,0.25338495,-0.13192405,0.090430856,0.036142897,252.76544,251.79585,337.87698,1.9404852,9.170451,0.9543125
1,15,10,0.01,0.10783453,0.050103012,0.05033196,0.007399561,0.11191851,0.011021046,8.536713,-3.6433086,7.3289905,3.0434883,0.22383702,0.022042092,0.22434786,-0.09574746,0.0860207,0.035721567,252.75615,251.64641,337.86246,0.5998204,9.166916,0.7306004
1,16,10,0.01,0.10087565,0.03929502,0.054160237,0.0074203974,0.09911486,0.016841814,8.855415,-3.6850123,7.339302,2.6484501,0.19822972,0.033683628,0.23272352,-0.09684346,0.08614173,0.031084975,252.70293,251.46922,336.9656,1.0365622,9.166916,0.71176517
1,17,10,0.01,0.08359611,0.03760899,0.039836243,0.006150879,0.09696519,0.012221346,7.5946517,-1.6861198,6.682051,1.8179022,0.19393037,0.024442691,0.19959019,-0.044311836,0.07842754,0.021336801,252.71684,251.49797,337.436,-0.13178241,9.164967,0.45489037
1,18,10,0.01,0.08288392,0.034749396,0.040921375,0.007213146,0.09320595,0.004406084,7.697396,-1.5806023,7.2360835,2.3244743,0.1864119,0.008812168,0.20229033,-0.041538797,0.08493024,0.027282458,252.73055,251.51776,337.95377,-0.74387205,9.164967,0.45058712
1,19,10,0.01,0.07720681,0.0357093,0.036021847,0.005475665,0.09448452,0.007346612,7.221904,1.0301598,6.3046308,1.4425591,0.18896905,0.014693224,0.18979423,0.02707297,0.073997736,0.016931383,252.7197,251.57335,337.46536,-2.472719,9.166341,0.32853585
1,20,10,0.01,0.0753396,0.037092995,0.033020556,0.005226045,0.09629771,0.006416086,6.914501,0.66781783,6.15925,1.4387637,0.19259542,0.012832172,0.1817156,0.017550498,0.07229139,0.016886836,252.74988,251.56311,338.12415,-2.1065817,9.166341,0.3283849
1,21,10,0.01,0.08968788,0.043274045,0.041257516,0.0051563135,0.10401207,-0.002913589,7.728945,2.9470491,6.1180196,1.0656694,0.20802414,-0.005827178,0.20311946,0.07744952,0.071807474,0.012507809,252.80252,251.79655,338.5516,-4.0127187,9.171292,0.4422422
1,22,10,0.01,0.09799671,0.050189808,0.04295376,0.0048531457,0.11201541,0.004309069,7.8862267,2.9143665,5.93544,0.766032,0.22403082,0.008618138,0.20725289,0.0765906,0.06966452,0.008990953,252.79425,251.81424,337.81787,-3.6803985,9.171292,0.44955766
1,23,10,0.01,0.09706097,0.047032356,0.045889378,0.004139237,0.10843472,0.0033131745,8.151261,3.8874764,5.4815245,0.23983881,0.21686944,0.006626349,0.21421807,0.10216429,0.0643369,0.0028149989,252.84474,251.94688,338.5845,-4.127315,9.179661,0.5284657
1,24,10,0.01,0.1006042,0.044959668,0.0504593,0.0051852283,0.106018476,-0.0032976787,8.547503,4.381635,6.1351495,0.5466504,0.21203695,-0.0065953573,0.22463147,0.115150936,0.07200853,0.0064160605,252.8608,252.03477,338.91705,-4.9282856,9.179661,0.56762743
1,25,10,0.01,0.09943687,0.04517082,0.049163926,0.005102122,0.10626714,0.002050602,8.437076,4.304337,6.0857854,-0.15725015,0.21253428,0.004101204,0.2217294,0.11311954,0.07142914,-0.0018456506,252.84056,252.0348,338.19083,-4.147087,9.190588,0.5684696
