ic,traj,n_steps,eta,loss_total,loss_T,loss_olw,loss_slwd,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd,nrmse_T,nbias_T,nrmse_olw,nbias_olw,nrmse_slwd,nbias_slwd,mean_T,mean_olw,mean_slwd,bias_C,pnorm,gnorm
1,1,2,0.01,0.3471807,0.010708586,0.28077394,0.055698168,0.05174115,-0.0038725138,20.162624,7.88264,20.107664,-2.8448353,0.1034823,-0.0077450275,0.52988106,0.20715864,0.23600459,-0.03338996,252.643,251.41217,336.8346,-5.0378046,10.830645,1.0335556
1,2,2,0.01,0.39616853,0.013065546,0.3273397,0.055763282,0.05715231,-0.006475693,21.770481,9.203532,20.119417,-2.7057073,0.11430462,-0.012951386,0.5721361,0.24187207,0.2361425,-0.03175701,252.68173,251.42722,337.55673,-6.4978247,10.830645,1.1387401
1,3,2,0.01,0.2481356,0.009802057,0.2017533,0.03658024,0.04950267,-0.0064947126,17.091454,10.838593,16.295382,-3.748393,0.09900534,-0.012989425,0.44916958,0.28484213,0.19125961,-0.043995067,252.6464,251.30852,337.0198,-7.0901995,10.809698,1.0311099
1,4,2,0.01,0.22935924,0.008444079,0.18421662,0.036698535,0.045945834,-0.0037908866,16.331762,9.853611,16.321707,-3.7877512,0.09189167,-0.007581773,0.42920464,0.25895643,0.19156861,-0.044457003,252.62338,251.20222,337.14166,-6.06586,10.809698,0.99861306
1,5,2,0.01,0.13868351,0.0069888006,0.1046914,0.027003307,0.041799523,-0.001450255,12.311874,6.2202935,14.000697,-3.1286883,0.083599046,-0.00290051,0.3235605,0.16347155,0.16432683,-0.036721572,252.62926,251.16232,337.8024,-3.0916052,10.794592,0.6801045
1,6,2,0.01,0.13535398,0.006897343,0.10131097,0.027145669,0.04152512,-0.0022749205,12.11147,6.347905,14.037555,-3.1707683,0.08305024,-0.004549841,0.31829384,0.16682525,0.16475943,-0.037215453,252.59572,251.13289,337.1635,-3.177137,10.794592,0.6872404
1,7,2,0.01,0.0619721,0.00692864,0.03443312,0.02061034,0.041619226,0.0063556107,7.060848,-0.72492325,12.231615,-2.1305375,0.08323845,0.012711221,0.18556163,-0.019051243,0.14356302,-0.025006218,252.57867,251.05417,337.18246,2.8554606,10.793924,0.165218
1,8,2,0.01,0.06606899,0.0069360035,0.038786843,0.020346146,0.041641336,0.0044636526,7.4939513,-0.09745326,12.1529665,-1.9678802,0.08328267,0.008927305,0.19694376,-0.0025611056,0.14263992,-0.023097096,252.5874,251.01025,337.858,2.0653336,10.793924,0.19455408
1,9,2,0.01,0.08003238,0.008866728,0.056832187,0.014333463,0.047081653,0.0080961455,9.071223,-5.271742,10.20039,-0.65391034,0.094163306,0.016192291,0.23839502,-0.13854328,0.11972244,-0.007674982,252.54999,250.90111,337.00024,5.925652,10.800554,0.47179782
1,10,2,0.01,0.083979666,0.009979056,0.059924927,0.014075684,0.049947612,0.010962734,9.314776,-5.899014,10.10825,-0.83088267,0.099895224,0.021925468,0.24479568,-0.15502821,0.11864099,-0.009752099,252.5675,250.9682,336.85376,6.7298965,10.800554,0.5194872
1,11,2,0.01,0.09215844,0.008934831,0.07427425,0.008949357,0.047262117,0.009350081,10.370215,-7.155297,8.060039,0.25590146,0.094524235,0.018700162,0.27253303,-0.18804377,0.09460104,0.0030035274,252.64159,251.25014,337.7592,6.8993955,10.796455,0.67940634
1,12,2,0.01,0.09056981,0.008411109,0.07274391,0.009414792,0.04585605,0.008920059,10.262826,-7.222363,8.266974,0.30015647,0.0917121,0.017840117,0.26971078,-0.18980631,0.09702985,0.0035229549,252.68071,251.51305,337.54,6.9222064,10.796455,0.6829125
1,13,2,0.01,0.06661623,0.007114392,0.053861484,0.0056403545,0.042173427,0.009208841,8.830958,-5.8497505,6.3987393,0.264785,0.08434685,0.018417682,0.23208077,-0.15373357,0.07510229,0.0031077983,252.73149,251.74072,337.58737,5.5849657,10.7853365,0.5267082
1,14,2,0.01,0.0654695,0.0066044196,0.052995276,0.005869811,0.04063379,0.0075020418,8.75966,-5.495361,6.5275965,0.48338988,0.08126758,0.0150040835,0.23020703,-0.14442007,0.07661469,0.00567357,252.78152,251.83176,338.29593,5.011971,10.7853365,0.50654054
1,15,2,0.01,0.04794567,0.004731769,0.039913233,0.0033006687,0.03439393,0.0034538237,7.601987,-1.7265517,4.8948812,-0.07911131,0.06878786,0.0069076475,0.19978297,-0.045374397,0.057451446,-0.0009285296,252.74136,251.66316,337.3984,1.805663,10.774084,0.18736927
1,16,2,0.01,0.047002055,0.0044218604,0.03920358,0.0033766136,0.033248536,0.006262203,7.534103,-2.316988,4.950874,-0.32715788,0.06649707,0.012524406,0.19799894,-0.06089128,0.058108635,-0.003839869,252.70851,251.46188,337.1343,2.644146,10.774084,0.2185607
1,17,2,0.01,0.045136996,0.0041188365,0.038398962,0.0026191976,0.03208908,0.0014145966,7.4563866,1.250091,4.36039,-0.6759582,0.06417816,0.0028291931,0.19595653,0.032852836,0.051178098,-0.007933753,252.7306,251.51764,337.76794,-0.57413274,10.765056,0.22545646
1,18,2,0.01,0.04290414,0.004417456,0.0357075,0.0027791818,0.033231974,0.0005189733,7.1903224,1.1959997,4.491586,-0.53891546,0.06646395,0.0010379466,0.18896428,0.031431302,0.052717946,-0.0063252756,252.70699,251.50162,337.36224,-0.6570843,10.765056,0.2078361
1,19,2,0.01,0.039849352,0.0035273004,0.03369478,0.002627273,0.02969554,0.001450418,6.984737,2.427567,4.367107,-0.97838193,0.05939108,0.002900836,0.18356138,0.06379734,0.051256932,-0.011483313,252.72621,251.55699,337.5652,-1.4491851,10.758151,0.24495675
1,20,2,0.01,0.03965909,0.0044026575,0.032664433,0.0025920025,0.033176262,-0.00086400396,6.8771133,2.68086,4.337694,-0.598049,0.066352524,-0.0017280079,0.18073304,0.07045398,0.050911713,-0.007019327,252.76129,251.58578,338.44434,-2.082811,10.758151,0.25758752
1,21,2,0.01,0.043721862,0.0057609226,0.035257317,0.0027036224,0.03795037,-0.0027754344,7.144853,3.0528362,4.4301066,-0.6418825,0.07590074,-0.005550869,0.18776932,0.08022963,0.05199637,-0.007533807,252.77533,251.76262,337.95502,-2.4109538,10.752928,0.26571396
1,22,2,0.01,0.04182965,0.004016188,0.035199896,0.0026135673,0.0316867,0.0004797763,7.1390324,2.6525319,4.355701,-0.84877884,0.0633734,0.0009595526,0.18761635,0.06970949,0.05112306,-0.009962155,252.79774,251.79077,337.97723,-1.803753,10.752928,0.23112097
1,23,2,0.01,0.045685977,0.005152356,0.037483517,0.0030501022,0.035889957,-0.0022123537,7.366969,2.8510754,4.70542,-0.31316844,0.071779914,-0.0044247075,0.1936066,0.07492727,0.05522773,-0.0036756734,252.85933,251.9725,338.92172,-2.537907,10.749366,0.2745697
1,24,2,0.01,0.045247585,0.0056048995,0.03669891,0.0029437728,0.03743294,-0.0028218718,7.289458,3.046069,4.622675,-0.25915626,0.07486588,-0.0056437436,0.1915696,0.08005178,0.054256547,-0.0030417298,252.84134,252.01521,338.4375,-2.7869127,10.749366,0.26870286
1,25,2,0.01,0.03557285,0.0040540523,0.028694201,0.0028245961,0.03183572,8.67529e-5,6.445635,1.9342941,4.5281353,-0.046380382,0.06367144,0.0001735058,0.16939363,0.05083395,0.05314693,-0.00054436864,252.83908,251.99503,338.28125,-1.8879137,10.747393,0.18877427
1,26,2,0.01,0.039744906,0.0054287356,0.031206282,0.003109886,0.036839977,-0.0019281793,6.7218633,1.9550037,4.7513113,0.34136763,0.073679954,-0.0038563586,0.176653,0.0513782,0.05576635,0.0040066475,252.93088,252.32898,339.082,-2.2963715,10.747393,0.20597431
1,27,2,0.01,0.034484338,0.0052987915,0.026011376,0.0031741697,0.0363964,-0.0017638938,6.136918,0.68045616,4.8001666,0.83754826,0.0727928,-0.0035277875,0.16128042,0.017882636,0.05633977,0.009830341,252.9629,252.55016,338.71582,-1.5180044,10.747359,0.11249171
1,28,2,0.01,0.033281386,0.0040158313,0.026861794,0.0024037596,0.031685293,0.0008654916,6.2364316,0.73366064,4.1772137,0.5725819,0.063370585,0.0017309831,0.16389568,0.019280871,0.04902815,0.00672042,252.95116,252.45955,338.3755,-1.3062425,10.747359,0.10361816
1,29,2,0.01,0.03383169,0.004603833,0.02628891,0.0029389453,0.033925775,-0.0005821401,6.169571,-0.07087964,4.618883,1.6048784,0.06785155,-0.0011642802,0.16213855,-0.0018627439,0.05421204,0.018836528,252.98819,252.42793,339.1598,-1.5339987,10.749337,0.063934125
1,30,2,0.01,0.034803566,0.0051006014,0.026630765,0.0030721982,0.035709247,-0.0013814601,6.209555,0.16003971,4.722433,1.6825975,0.071418494,-0.0027629202,0.16318935,0.004205903,0.055427413,0.019748721,252.99124,252.43286,338.7099,-1.8426372,10.749337,0.064374864
1,31,2,0.01,0.028725762,0.0034415394,0.022935603,0.0023486202,0.029332317,0.0017703057,5.7626696,-0.94490886,4.129026,1.7113916,0.058664635,0.0035406114,0.15144505,-0.024832543,0.048462566,0.020086678,253.01503,252.59744,338.52817,-0.7664827,10.752648,0.10060507
